FILENAME,MJD,BAND,FIELD,FLUXCAL,FLUXCALERR,PHOTFLAG,GAIN,ZPT,PSF,SKY_SIG,SIM_MAGOBS
MYC21_073025_BAYESN_PLUSSCATTER_DELR_SAT_SN000480.DAT,61754.2011,LSST-g,DDF,217119.0,27.545,4096,1.0,33.65,1.44,137.4,14.1602
MYC21_073025_BAYESN_PLUSSCATTER_DELR_SAT_SN000480.DAT,61754.2098,LSST-i,DDF,132757.0,16.769,4096,1.0,34.2,1.52,173.7,14.6939
MYC21_073025_BAYESN_PLUSSCATTER_DELR_SAT_SN000480.DAT,61754.2195,LSST-r,DDF,198140.0,19.068,4096,1.0,34.35,1.45,186.7,14.2519
MYC21_073025_BAYESN_PLUSSCATTER_DELR_SAT_SN001775.DAT,61016.2028,LSST-r,DDF,197024.0,43.079,6144,1.0,32.6,3.29,72.18,14.2678
MYC21_073025_BAYESN_PLUSSCATTER_DELR_SAT_SN001775.DAT,61016.2268,LSST-i,DDF,137824.0,38.874,4096,1.0,32.44,2.77,71.22,14.6568
MYC21_073025_BAYESN_PLUSSCATTER_DELR_SAT_SN000319.DAT,60921.3569,LSST-g,DDF,217708.0,69.698,4096,1.0,31.63,2.06,15.45,14.1598
MYC21_073025_BAYESN_PLUSSCATTER_DELR_SAT_SN000319.DAT,60921.3808,LSST-r,DDF,198099.0,64.165,6144,1.0,31.71,2.16,25.44,14.2582
MYC21_073025_BAYESN_PLUSSCATTER_DELR_SAT_SN000319.DAT,60930.1353,LSST-g,DDF,243750.0,51.489,4096,1.0,32.42,4.79,28.55,14.034
MYC21_073025_BAYESN_PLUSSCATTER_DELR_SAT_SN000319.DAT,60930.1592,LSST-r,DDF,228393.0,47.232,4096,1.0,32.54,3.23,49.27,14.0988
MYC21_073025_BAYESN_PLUSSCATTER_DELR_SAT_SN000319.DAT,60930.3196,LSST-i,DDF,119771.0,36.317,4096,1.0,32.43,2.66,63.99,14.7995
MYC21_073025_BAYESN_PLUSSCATTER_DELR_SAT_SN000319.DAT,60934.1513,LSST-g,DDF,212484.0,68.531,4096,1.0,31.64,1.82,15.51,14.1756
