FILENAME,MJD,BAND,FIELD_NO_S,FLUXCAL_NO_S,FLUXCALERR_NO_S,PHOTFLAG_NO_S,GAIN_NO_S,ZPT_NO_S,PSF_NO_S,SKY_SIG_NO_S,SIM_MAGOBS_NO_S,FIELD_PLUS_S,FLUXCAL_PLUS_S,FLUXCALERR_PLUS_S,PHOTFLAG_PLUS_S,GAIN_PLUS_S,ZPT_PLUS_S,PSF_PLUS_S,SKY_SIG_PLUS_S,SIM_MAGOBS_PLUS_S
SN000028,60958.2389,LSST-g,DDF,0,100000000,1024,1,31.87,2.88,47.34,13.8991,DDF,0,100000000,1024,1,31.87,2.88,47.34,13.8025
SN000028,60958.2631,LSST-r,DDF,0,100000000,1024,1,31.83,1.72,48.29,14.0735,DDF,0,100000000,1024,1,31.83,1.72,48.29,14.0084
SN000028,60964.2366,LSST-r,DDF,0,100000000,1024,1,31.72,2.19,24.78,14.0195,DDF,0,100000000,1024,1,31.72,2.19,24.78,13.9918
SN001336,60904.2353,LSST-g,DDF,233486,40.198,6144,1,32.91,5.22,30.91,14.0868,DDF,239001,40.666,6144,1,32.91,5.22,30.91,14.0433
SN001336,60904.2419,LSST-i,DDF,130934,19.016,4096,1,33.97,3.89,136.1,14.7058,DDF,127883,18.808,4096,1,33.97,3.89,136.1,14.7436
SN001336,60904.2516,LSST-r,DDF,190299,21.566,4096,1,34.04,2.86,85.06,14.3041,DDF,185726,21.307,4096,1,34.04,2.86,85.06,14.3338
SN001336,60911.396,LSST-g,DDF,0,100000000,1024,1,33.38,1.82,32.41,13.9059,DDF,0,100000000,1024,1,33.38,1.82,32.41,13.9351
SN001336,60912.2163,LSST-i,DDF,122668,18.293,4096,1,33.97,3.41,135.4,14.7817,DDF,135765,19.195,4096,1,33.97,3.41,135.4,14.6651
SN001336,60912.226,LSST-r,DDF,239332,24.295,4096,1,34.03,3.19,84.39,14.0528,DDF,242319,24.444,4096,1,34.03,3.19,84.39,14.0339
SN000996,61047.0348,LSST-i,DDF,84038.1,43.586,6144,1,31.71,2.54,67.87,15.1913,DDF,76168.6,41.675,6144,1,31.71,2.54,67.87,15.2966
SN001450,61196.9942,LSST-g,DDF,0,100000000,1024,1,34.92,1.9,89.3,14.7163,DDF,0,100000000,1024,1,34.92,1.9,89.3,14.7314
SN001450,61197.003,LSST-i,DDF,0,100000000,1024,1,35.62,1.86,271.1,14.9953,DDF,0,100000000,1024,1,35.62,1.86,271.1,14.9742
SN001450,61197.0127,LSST-r,DDF,0,100000000,1024,1,35.69,1.99,194.8,14.6944,DDF,0,100000000,1024,1,35.69,1.99,194.8,14.7245
SN001450,61205.9927,LSST-g,DDF,137077,12.524,4096,1,34.86,2.61,90.77,14.6566,DDF,140798,12.692,4096,1,34.86,2.61,90.77,14.6236
SN001450,61206.0014,LSST-i,DDF,86787.6,7.2692,4096,1,35.58,2.4,281.6,15.1596,DDF,83405.9,7.1316,4096,1,35.58,2.4,281.6,15.1984
SN001450,61206.0111,LSST-r,DDF,153046,9.3351,4096,1,35.63,3.06,200,14.536,DDF,150923,9.2712,4096,1,35.63,3.06,200,14.5496
SN001450,61208.993,LSST-g,DDF,122943,11.888,4096,1,34.86,3,99.57,14.771,DDF,124777,11.975,4096,1,34.86,3,99.57,14.7538
SN001450,61209.0017,LSST-i,DDF,74612,6.8908,4096,1,35.57,2.98,292.7,15.319,DDF,67108.5,6.5608,4096,1,35.57,2.98,292.7,15.4333
SN001450,61209.0114,LSST-r,DDF,137100,8.8864,4096,1,35.62,2.92,210.5,14.657,DDF,129955,8.6563,4096,1,35.62,2.92,210.5,14.7119
SN001444,60981.1943,LSST-r,DDF,0,100000000,1024,1,31.84,1.92,47.17,14.2109,DDF,0,100000000,1024,1,31.84,1.92,47.17,14.3719
SN001444,60992.1365,LSST-r,DDF,0,100000000,1024,1,31.72,1.74,24.34,13.9579,DDF,0,100000000,1024,1,31.72,1.74,24.34,13.9577
SN001444,60992.1724,LSST-g,DDF,0,100000000,1024,1,32.38,1.63,20.51,13.8225,DDF,0,100000000,1024,1,32.38,1.63,20.51,13.8659
SN001444,60993.106,LSST-r,DDF,0,100000000,1024,1,31.69,2.76,24.62,13.9833,DDF,0,100000000,1024,1,31.69,2.76,24.62,13.992
SN001444,60994.1932,LSST-g,DDF,0,100000000,1024,1,32.37,2.54,20.24,13.8714,DDF,0,100000000,1024,1,32.37,2.54,20.24,13.8971
SN001478,61192.9813,LSST-g,DDF,184487,19.052,6144,1,34.3,3.32,150.8,14.3375,DDF,196630,19.649,6144,1,34.3,3.32,150.8,14.2639
SN001478,61192.9889,LSST-i,DDF,109161,11.225,4096,1,34.91,2.78,254.1,14.8984,DDF,105989,11.07,4096,1,34.91,2.78,254.1,14.9333
SN001478,61192.9986,LSST-r,DDF,174127,13.279,4096,1,35.04,3.19,267.5,14.3982,DDF,173248,13.247,4096,1,35.04,3.19,267.5,14.3935
SN001478,61193.9731,LSST-g,DDF,0,100000000,1024,1,34.17,1.99,61.62,14.3273,DDF,0,100000000,1024,1,34.17,1.99,61.62,14.2579
SN001478,61193.9807,LSST-i,DDF,108396,11.059,4096,1,34.89,2.08,187.9,14.9227,DDF,101595,10.713,4096,1,34.89,2.08,187.9,14.9864
SN001478,61193.9905,LSST-r,DDF,0,100000000,1024,1,35.02,2.11,195.2,14.3789,DDF,0,100000000,1024,1,35.02,2.11,195.2,14.3842
SN000766,61678.3366,LSST-g,DDF,0,100000000,1024,1,33.4,1.51,32.33,14.0871,DDF,0,100000000,1024,1,33.4,1.51,32.33,14.0512
SN000766,61678.3432,LSST-i,DDF,0,100000000,1024,1,34.16,1.59,110.6,14.7561,DDF,0,100000000,1024,1,34.16,1.59,110.6,14.6842
SN000766,61678.3529,LSST-r,DDF,0,100000000,1024,1,34.24,1.56,75.15,14.2031,DDF,0,100000000,1024,1,34.24,1.56,75.15,14.1257
