SURVEY:   LSST
SNID:             503  # integer or string assigned by survey team (required)
ZP_FLUXCAL:  27.50  # mag = ZP_FLUXCAL - 2.5*log10(FLUXCAL) 
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       52.119141  # deg (avg among obs)
DEC:      -29.142223  # deg (avg among obs)
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0062 +- 0.0000  # MW E(B-V) 
MWXT_MAG:  0.029 0.023 0.016 0.012 0.009 0.008  # MW mag-XT per band
PEAKMJD:  61774.094     # estimate for LC fit codes
MJD_TRIGGER:       61764.188  
MJD_DETECT_FIRST:  61764.164  
MJD_DETECT_LAST:   61815.039  

REDSHIFT_HELIO:   0.188354 +- 0.001000  # Helio 
REDSHIFT_FINAL:   0.187887 +- 0.001000  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      BAYESN.T21  
SIM_MODEL_INDEX:     13  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       BAYESN.T21 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           104866    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.18641 
SIM_REDSHIFT_CMB:    0.18594  
SIM_REDSHIFT_HOST:       0.18641    # z of true host
SIM_REDSHIFT_HOST_MATCH: 0.00000    # z of DDLR-matched host
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            39.7764   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_MUSHIFT:         0.0000   # user-defined shift 
SIM_RA:              52.119141     # deg  
SIM_DEC:             -29.142223      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0062   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.122     # host extinction at 5510 A
SIM_RV:            2.610     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         61771.453    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        -0.097    # BayeSN lumi-par
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  1.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -6.98  # days 
SIM_TRESTMAX:        36.75  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  -9.000 -9.000 20.560 20.646 21.219 21.233  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 57 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 61764.1631 LSST-r DDF  4.33141e+02  4.2904e+00 4096  1.000 31.730  1.75 2.458e+01  20.8768 
OBS: 61764.1871 LSST-i DDF  4.17577e+02  5.5888e+00 6144  1.000 31.650  1.64 3.696e+01  20.9533 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=61764.1875
OBS: 61766.1120 LSST-i DDF  4.70196e+02  1.1795e+00 4096  1.000 34.920  1.58 1.560e+02  20.8086 
OBS: 61766.1217 LSST-r DDF  5.19157e+02  9.7889e-01 4096  1.000 35.000  1.74 1.074e+02  20.7141 
OBS: 61766.1366 LSST-z DDF  3.46755e+02  1.7057e+00 4096  1.000 34.790  1.59 2.307e+02  21.1497 
OBS: 61768.1886 LSST-r DDF  5.65016e+02  4.6113e+00 4096  1.000 31.710  1.66 2.539e+01  20.6199 
OBS: 61774.0855 LSST-i DDF  5.44316e+02  1.3482e+00 4096  1.000 34.930  1.73 1.700e+02  20.6608 
OBS: 61774.0952 LSST-r DDF  5.93522e+02  1.2479e+00 4096  1.000 35.040  2.17 1.339e+02  20.5695 
OBS: 61774.1045 LSST-Y DDF  2.92992e+02  4.2581e+00 4096  1.000 33.420  1.46 1.852e+02  21.3309 
OBS: 61774.1146 LSST-z DDF  3.08955e+02  1.5118e+00 4096  1.000 34.800  1.37 2.369e+02  21.2752 
OBS: 61775.1372 LSST-r DDF  5.82979e+02  4.6074e+00 4096  1.000 31.790  1.44 3.224e+01  20.5837 
OBS: 61775.1620 LSST-i DDF  5.30884e+02  5.6340e+00 4096  1.000 31.660  1.45 4.037e+01  20.6833 
OBS: 61776.1268 LSST-z DDF  2.83324e+02  7.7930e+00 4096  1.000 31.350  1.37 5.176e+01  21.3309 
OBS: 61777.1309 LSST-Y DDF  2.65331e+02  1.2963e+01 4096  1.000 31.010  1.38 6.505e+01  21.4662 
OBS: 61779.1206 LSST-i DDF  4.61812e+02  6.6953e+00 4096  1.000 31.700  1.46 5.485e+01  20.8204 
OBS: 61779.1445 LSST-z DDF  2.58590e+02  9.2056e+00 4096  1.000 31.340  1.44 5.914e+01  21.4834 
OBS: 61781.1288 LSST-Y DDF  2.02881e+02  1.5170e+01 4096  1.000 31.000  1.55 6.812e+01  21.6658 
OBS: 61782.1230 LSST-Y DDF  1.88234e+02  2.7856e+01 4096  1.000 30.250  1.95 5.024e+01  21.7164 
OBS: 61782.1469 LSST-z DDF  2.31105e+02  1.5856e+01 4096  1.000 31.340  2.20 6.891e+01  21.6375 
OBS: 61783.1052 LSST-z DDF  2.10721e+02  8.3156e+00 4096  1.000 32.100  1.94 8.179e+01  21.6962 
OBS: 61783.1291 LSST-Y DDF  1.70198e+02  1.5845e+01 4096  1.000 30.990  1.62 6.773e+01  21.7610 
OBS: 61784.1635 LSST-r DDF  4.18927e+02  7.3792e+00 4096  1.000 31.800  1.79 5.638e+01  20.9371 
OBS: 61784.1872 LSST-i DDF  3.69778e+02  8.4197e+00 4096  1.000 31.630  1.76 5.693e+01  21.0894 
OBS: 61785.1197 LSST-r DDF  3.91509e+02  5.6742e+00 4096  1.000 31.820  1.69 4.450e+01  20.9909 
OBS: 61785.1434 LSST-i DDF  3.47129e+02  7.3475e+00 4096  1.000 31.670  1.79 5.005e+01  21.1376 
OBS: 61786.1262 LSST-z DDF  1.83939e+02  8.9424e+00 4096  1.000 31.330  1.58 5.248e+01  21.8650 
OBS: 61788.1131 LSST-i DDF  3.06862e+02  1.1689e+00 4096  1.000 34.900  1.60 1.632e+02  21.2777 
OBS: 61788.1228 LSST-r DDF  3.46318e+02  9.3097e-01 4096  1.000 34.970  1.75 1.121e+02  21.1521 
OBS: 61788.1320 LSST-Y DDF  1.81101e+02  5.1861e+00 4096  1.000 33.360  1.65 1.928e+02  21.9115 
