SURVEY:   LSST
SNID:             1590  # integer or string assigned by survey team (required)
ZP_FLUXCAL:  27.50  # mag = ZP_FLUXCAL - 2.5*log10(FLUXCAL) 
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       150.380859  # deg (avg among obs)
DEC:      1.342993  # deg (avg among obs)
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0187 +- 0.0000  # MW E(B-V) 
MWXT_MAG:  0.087 0.068 0.048 0.035 0.028 0.023  # MW mag-XT per band
PEAKMJD:  61746.301     # estimate for LC fit codes
MJD_TRIGGER:       61734.320  
MJD_DETECT_FIRST:  61734.301  
MJD_DETECT_LAST:   61791.254  

REDSHIFT_HELIO:   0.491745 +- 0.001000  # Helio 
REDSHIFT_FINAL:   0.493483 +- 0.001000  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      BAYESN.T21  
SIM_MODEL_INDEX:     13  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       BAYESN.T21 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           319734    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.49124 
SIM_REDSHIFT_CMB:    0.49298  
SIM_REDSHIFT_HOST:       0.49124    # z of true host
SIM_REDSHIFT_HOST_MATCH: 0.00000    # z of DDLR-matched host
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            42.2108   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_MUSHIFT:         0.0000   # user-defined shift 
SIM_RA:              150.380859     # deg  
SIM_DEC:             1.342993      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0187   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.641     # host extinction at 5510 A
SIM_RV:            2.610     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         61737.203    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        -0.666    # BayeSN lumi-par
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  1.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -1.95  # days 
SIM_TRESTMAX:        36.25  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  -9.000 -9.000 -9.000 23.293 23.093 23.166  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 58 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 61734.2994 LSST-i DDF  4.54027e+01  2.0874e+00 4096  1.000 34.800  2.47 1.970e+02  23.3074 
OBS: 61734.3194 LSST-z DDF  5.42704e+01  9.5742e+00 6144  1.000 32.030  2.17 8.036e+01  23.1372 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=61734.3203
OBS: 61735.3168 LSST-i DDF  4.75439e+01  2.2651e+00 4096  1.000 34.830  2.85 1.907e+02  23.2992 
OBS: 61736.2978 LSST-i DDF  4.80285e+01  2.1435e+00 4096  1.000 34.810  2.58 1.955e+02  23.2951 
OBS: 61736.3179 LSST-z DDF  5.12611e+01  1.0164e+01 4096  1.000 32.030  2.33 7.951e+01  23.1020 
OBS: 61737.3170 LSST-i DDF  4.75438e+01  1.6762e+00 4096  1.000 34.850  2.15 1.897e+02  23.2937 
OBS: 61738.2953 LSST-i DDF  4.61520e+01  1.3923e+00 4096  1.000 35.500  2.30 2.686e+02  23.2973 
OBS: 61738.3009 LSST-z DDF  5.99613e+01  3.1511e+00 4096  1.000 34.720  2.43 2.815e+02  23.0910 
OBS: 61739.2888 LSST-z DDF  5.62594e+01  3.3769e+00 4096  1.000 34.710  2.53 2.873e+02  23.0936 
OBS: 61739.3016 LSST-i DDF  4.76108e+01  1.4384e+00 4096  1.000 34.940  1.88 2.017e+02  23.3042 
OBS: 61740.2863 LSST-z DDF  5.78893e+01  3.2416e+00 4096  1.000 34.710  2.43 2.871e+02  23.0994 
OBS: 61740.3024 LSST-i DDF  4.73079e+01  1.9184e+00 4096  1.000 34.840  2.43 1.908e+02  23.3133 
OBS: 61741.2905 LSST-z DDF  5.78939e+01  2.0580e+00 4096  1.000 35.210  1.96 3.574e+02  23.1127 
OBS: 61741.2923 LSST-i DDF  4.55509e+01  1.5040e+00 4096  1.000 34.830  1.86 1.927e+02  23.3263 
OBS: 61742.2928 LSST-i DDF  4.27848e+01  1.6303e+00 4096  1.000 34.830  2.03 1.919e+02  23.3419 
OBS: 61742.2989 LSST-z DDF  5.41919e+01  2.8638e+00 4096  1.000 34.640  2.17 2.660e+02  23.1291 
OBS: 61743.2652 LSST-i DDF  4.13800e+01  1.8032e+00 4096  1.000 34.780  2.07 1.991e+02  23.3586 
OBS: 61743.2771 LSST-z DDF  5.45719e+01  2.2643e+00 4096  1.000 35.140  2.05 3.528e+02  23.1471 
OBS: 61744.2896 LSST-i DDF  4.58336e+01  1.8949e+00 4096  1.000 34.830  2.38 1.906e+02  23.3791 
OBS: 61744.2917 LSST-Y DDF  5.39977e+01  5.8178e+00    0  1.000 33.980  2.18 2.936e+02  23.2393 
OBS: 61744.3166 LSST-z DDF  5.55620e+01  3.1589e+00 4096  1.000 34.170  2.03 2.031e+02  23.1704 
OBS: 61745.2866 LSST-i DDF  4.41290e+01  1.5199e+00 4096  1.000 34.830  1.90 1.908e+02  23.4002 
OBS: 61745.3033 LSST-z DDF  4.91665e+01  1.8696e+00 4096  1.000 35.120  1.81 3.234e+02  23.1961 
OBS: 61745.3056 LSST-Y DDF  4.54693e+01  7.0957e+00    0  1.000 33.270  1.99 2.040e+02  23.2702 
OBS: 61746.2815 LSST-i DDF  3.81567e+01  2.0081e+00 4096  1.000 34.830  2.52 1.911e+02  23.4223 
OBS: 61746.3005 LSST-Y DDF  6.02689e+01  8.0837e+00 4096  1.000 33.270  2.26 2.046e+02  23.3060 
OBS: 61746.3106 LSST-z DDF  5.09568e+01  3.5647e+00 4096  1.000 34.750  3.00 2.656e+02  23.2248 
OBS: 61747.2836 LSST-i DDF  4.13614e+01  1.7806e+00 4096  1.000 34.830  2.25 1.894e+02  23.4471 
OBS: 61747.3026 LSST-Y DDF  3.63120e+01  6.8256e+00    0  1.000 33.280  1.94 2.032e+02  23.3480 
