SURVEY:   LSST
SNID:             317  # integer or string assigned by survey team (required)
ZP_FLUXCAL:  27.50  # mag = ZP_FLUXCAL - 2.5*log10(FLUXCAL) 
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       148.447266  # deg (avg among obs)
DEC:      2.537361  # deg (avg among obs)
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0320 +- 0.0000  # MW E(B-V) 
MWXT_MAG:  0.150 0.117 0.082 0.060 0.048 0.039  # MW mag-XT per band
PEAKMJD:  61050.188     # estimate for LC fit codes
MJD_TRIGGER:       61038.234  
MJD_DETECT_FIRST:  61038.203  
MJD_DETECT_LAST:   61098.297  

REDSHIFT_HELIO:   0.264745 +- 0.001000  # Helio 
REDSHIFT_FINAL:   0.266197 +- 0.001000  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      BAYESN.T21  
SIM_MODEL_INDEX:     13  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       BAYESN.T21 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           69631    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.26456 
SIM_REDSHIFT_CMB:    0.26602  
SIM_REDSHIFT_HOST:       0.26456    # z of true host
SIM_REDSHIFT_HOST_MATCH: 0.00000    # z of DDLR-matched host
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            40.6470   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_MUSHIFT:         0.0000   # user-defined shift 
SIM_RA:              148.447266     # deg  
SIM_DEC:             2.537361      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0320   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.263     # host extinction at 5510 A
SIM_RV:            2.610     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         61050.301    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        1.086    # BayeSN lumi-par
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  1.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -9.57  # days 
SIM_TRESTMAX:        37.95  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  -9.000 -9.000 21.775 21.673 21.945 22.309  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 65 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 61038.2043 LSST-i DDF  7.97258e+01  2.2031e+00 4096  1.000 34.800  2.39 2.141e+02  22.7008 
OBS: 61038.2140 LSST-r DDF  7.39482e+01  1.4045e+00 4096  1.000 34.900  2.39 1.480e+02  22.8264 
OBS: 61038.2233 LSST-Y DDF  6.56064e+01  8.0452e+00 4096  1.000 33.220  2.12 2.072e+02  22.9775 
OBS: 61038.2334 LSST-z DDF  7.46816e+01  2.3311e+00 6144  1.000 34.740  1.89 2.714e+02  22.7704 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=61038.2344
OBS: 61040.1863 LSST-i DDF  1.10008e+02  2.1761e+00 4096  1.000 34.780  1.92 2.573e+02  22.3920 
OBS: 61040.1960 LSST-r DDF  1.01192e+02  1.7134e+00 4096  1.000 34.910  1.86 2.347e+02  22.4904 
OBS: 61040.2053 LSST-Y DDF  1.03174e+02  8.1184e+00 4096  1.000 33.190  1.99 2.164e+02  22.6592 
OBS: 61040.2154 LSST-z DDF  1.05771e+02  2.9034e+00 4096  1.000 34.730  2.09 3.031e+02  22.4628 
OBS: 61042.2004 LSST-i DDF  1.42060e+02  3.1919e+00 4096  1.000 34.900  2.55 3.196e+02  22.1405 
OBS: 61042.2062 LSST-r DDF  1.29968e+02  2.8687e+00 4096  1.000 34.980  2.43 3.243e+02  22.2222 
OBS: 61042.2154 LSST-Y DDF  1.04689e+02  7.3717e+00 4096  1.000 33.250  1.88 2.196e+02  22.4415 
OBS: 61042.2287 LSST-z DDF  1.31087e+02  2.6921e+00 4096  1.000 34.800  1.87 3.341e+02  22.2283 
OBS: 61049.3246 LSST-i DDF  2.11819e+02  1.5423e+00 4096  1.000 34.990  1.66 2.478e+02  21.6891 
OBS: 61049.3400 LSST-z DDF  1.67265e+02  9.6860e+00 4096  1.000 31.340  1.55 5.897e+01  21.9433 
OBS: 61050.1736 LSST-r DDF  1.93331e+02  1.0153e+00 4096  1.000 35.610  2.19 2.168e+02  21.7763 
OBS: 61050.1829 LSST-Y DDF  1.17390e+02  5.4357e+00 4096  1.000 33.930  1.91 2.980e+02  22.3054 
OBS: 61050.1865 LSST-i DDF  2.16085e+02  1.7882e+00 4096  1.000 34.840  1.94 2.154e+02  21.6749 
OBS: 61050.1930 LSST-z DDF  1.66037e+02  1.8215e+00 4096  1.000 35.480  1.90 4.140e+02  21.9448 
OBS: 61056.2787 LSST-r DDF  1.75402e+02  3.3700e+00 4096  1.000 31.750  1.45 2.733e+01  21.8563 
OBS: 61062.1634 LSST-i DDF  1.51069e+02  1.6324e+00 4096  1.000 34.890  2.10 1.918e+02  22.0646 
OBS: 61062.1715 LSST-r DDF  1.38603e+02  1.1343e+00 4096  1.000 34.970  2.27 1.293e+02  22.1387 
OBS: 61062.1811 LSST-z DDF  1.06589e+02  2.2431e+00 4096  1.000 34.750  1.87 2.652e+02  22.4069 
OBS: 61064.2025 LSST-r DDF  1.30454e+02  4.1463e+00 4096  1.000 31.720  1.88 2.787e+01  22.2846 
OBS: 61065.3387 LSST-r DDF  1.08591e+02  3.1419e+00 4096  1.000 32.460  2.05 3.922e+01  22.3692 
OBS: 61066.1879 LSST-r DDF  1.02879e+02  5.2758e+00 4096  1.000 31.700  2.49 2.748e+01  22.4280 
OBS: 61068.1627 LSST-z DDF  1.17624e+02  1.7977e+01    0  1.000 31.300  2.95 5.661e+01  22.6136 
OBS: 61068.1865 LSST-Y DDF  7.96671e+01  2.8249e+01    0  1.000 30.190  2.01 4.703e+01  22.9603 
OBS: 61070.1079 LSST-i DDF  1.11540e+02  3.8561e+00 4096  1.000 34.800  3.01 2.992e+02  22.4099 
OBS: 61070.1176 LSST-r DDF  7.73982e+01  2.8915e+00 4096  1.000 34.940  2.61 2.943e+02  22.7177 
OBS: 61070.1269 LSST-Y DDF  5.55184e+01  8.6841e+00 4096  1.000 33.200  2.09 2.229e+02  22.9274 
OBS: 61070.1370 LSST-z DDF  9.31159e+01  3.3659e+00 4096  1.000 34.740  2.27 3.275e+02  22.6028 
OBS: 61076.1999 LSST-z DDF  1.26251e+02  1.2813e+01 4096  1.000 32.100  2.54 9.790e+01  22.5696 
OBS: 61076.2238 LSST-Y DDF  5.82568e+01  2.3704e+01    0  1.000 30.980  2.26 7.281e+01  22.7371 
OBS: 61077.1697 LSST-i DDF  8.44953e+01  1.5938e+01 4096  1.000 31.660  3.39 6.096e+01  22.5948 
