SURVEY:   LSST
SNID:             407  # integer or string assigned by survey team (required)
ZP_FLUXCAL:  27.50  # mag = ZP_FLUXCAL - 2.5*log10(FLUXCAL) 
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       150.380859  # deg (avg among obs)
DEC:      1.193748  # deg (avg among obs)
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0174 +- 0.0000  # MW E(B-V) 
MWXT_MAG:  0.081 0.064 0.044 0.033 0.026 0.021  # MW mag-XT per band
PEAKMJD:  61049.324     # estimate for LC fit codes
MJD_TRIGGER:       61031.250  
MJD_DETECT_FIRST:  61030.270  
MJD_DETECT_LAST:   61098.297  

REDSHIFT_HELIO:   0.416002 +- 0.001000  # Helio 
REDSHIFT_FINAL:   0.417652 +- 0.001000  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      BAYESN.T21  
SIM_MODEL_INDEX:     13  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       BAYESN.T21 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           88910    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.41608 
SIM_REDSHIFT_CMB:    0.41773  
SIM_REDSHIFT_HOST:       0.41608    # z of true host
SIM_REDSHIFT_HOST_MATCH: 0.00000    # z of DDLR-matched host
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            41.7837   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_MUSHIFT:         0.0000   # user-defined shift 
SIM_RA:              150.380859     # deg  
SIM_DEC:             1.193748      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0174   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.128     # host extinction at 5510 A
SIM_RV:            2.610     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         61044.543    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        1.591    # BayeSN lumi-par
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  1.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -10.08  # days 
SIM_TRESTMAX:        37.96  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  -9.000 -9.000 -9.000 22.689 22.626 22.916  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 89 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 61030.2700 LSST-z DDF  3.02171e+01  2.3990e+00 4096  1.000 34.750  2.02 2.652e+02  23.8263 
OBS: 61031.2498 LSST-i DDF  2.80525e+01  1.6548e+00 6144  1.000 34.900  2.16 1.960e+02  23.7404 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=61031.2500
OBS: 61031.2693 LSST-z DDF  3.23412e+01  2.2092e+00 4096  1.000 34.760  1.88 2.646e+02  23.6589 
OBS: 61032.2067 LSST-i DDF  3.72448e+01  3.3519e+00 4096  1.000 34.750  3.78 1.983e+02  23.5962 
OBS: 61032.2314 LSST-z DDF  3.38434e+01  3.0944e+00 4096  1.000 34.720  2.39 2.816e+02  23.5138 
OBS: 61033.2018 LSST-i DDF  4.03753e+01  2.4813e+00 4096  1.000 34.750  2.78 1.992e+02  23.4588 
OBS: 61033.2265 LSST-z DDF  4.36452e+01  2.7111e+00 4096  1.000 34.720  2.08 2.830e+02  23.3775 
OBS: 61038.2043 LSST-i DDF  6.57738e+01  2.1993e+00 4096  1.000 34.800  2.39 2.141e+02  22.9523 
OBS: 61038.2233 LSST-Y DDF  6.99254e+01  8.0466e+00    0  1.000 33.220  2.12 2.072e+02  23.0156 
OBS: 61038.2334 LSST-z DDF  6.65401e+01  2.3288e+00 4096  1.000 34.740  1.89 2.714e+02  22.8815 
OBS: 61040.1863 LSST-i DDF  7.34626e+01  2.1658e+00 4096  1.000 34.780  1.92 2.573e+02  22.8296 
OBS: 61040.2053 LSST-Y DDF  7.14046e+01  8.1080e+00 4096  1.000 33.190  1.99 2.164e+02  22.9461 
OBS: 61040.2154 LSST-z DDF  7.79167e+01  2.8972e+00 4096  1.000 34.730  2.09 3.031e+02  22.7555 
OBS: 61042.2004 LSST-i DDF  7.82266e+01  3.1787e+00 4096  1.000 34.900  2.55 3.193e+02  22.7469 
OBS: 61042.2154 LSST-Y DDF  6.11889e+01  7.3569e+00 4096  1.000 33.250  1.88 2.196e+02  22.9169 
OBS: 61042.2286 LSST-z DDF  8.33882e+01  2.6804e+00 4096  1.000 34.800  1.87 3.340e+02  22.6734 
OBS: 61049.3247 LSST-i DDF  8.56572e+01  1.5001e+00 4096  1.000 34.990  1.66 2.477e+02  22.6765 
OBS: 61049.3405 LSST-z DDF  6.83156e+01  9.1892e+00 4096  1.000 31.340  1.51 5.828e+01  22.6968 
OBS: 61050.1829 LSST-Y DDF  6.01239e+01  5.4216e+00 4096  1.000 33.930  1.91 2.980e+02  23.0311 
OBS: 61050.1865 LSST-i DDF  8.19386e+01  1.7442e+00 4096  1.000 34.840  1.94 2.154e+02  22.6878 
OBS: 61050.1930 LSST-z DDF  8.35449e+01  1.8068e+00 4096  1.000 35.480  1.90 4.140e+02  22.7224 
OBS: 61051.1951 LSST-i DDF  8.22605e+01  1.4820e+00 4096  1.000 34.900  1.88 1.986e+02  22.7083 
OBS: 61051.2077 LSST-Y DDF  6.65464e+01  6.0057e+00 4096  1.000 33.280  1.71 2.023e+02  23.0740 
OBS: 61051.2178 LSST-z DDF  8.28999e+01  2.0255e+00 4096  1.000 34.760  1.69 2.676e+02  22.7572 
OBS: 61052.2042 LSST-i DDF  7.89654e+01  1.9285e+00 4096  1.000 34.860  2.53 1.867e+02  22.7332 
OBS: 61052.2233 LSST-Y DDF  5.63451e+01  8.0978e+00    0  1.000 33.310  2.40 2.003e+02  23.1234 
OBS: 61052.2334 LSST-z DDF  7.75421e+01  2.5403e+00 4096  1.000 34.770  2.21 2.604e+02  22.7963 
OBS: 61053.2599 LSST-i DDF  7.86798e+01  1.1591e+00 4096  1.000 34.900  1.62 1.781e+02  22.7643 
OBS: 61053.2846 LSST-z DDF  7.28527e+01  1.5944e+00 4096  1.000 34.780  1.44 2.505e+02  22.8404 
OBS: 61054.2824 LSST-i DDF  7.60107e+01  1.4364e+00 4096  1.000 34.900  2.08 1.740e+02  22.7998 
OBS: 61054.3071 LSST-z DDF  7.32045e+01  1.8474e+00 4096  1.000 34.780  1.69 2.485e+02  22.8859 
OBS: 61056.1564 LSST-i DDF  6.88556e+01  1.4190e+00 4096  1.000 34.800  1.69 1.929e+02  22.8749 
OBS: 61056.1810 LSST-z DDF  6.21080e+01  2.0213e+00 4096  1.000 34.740  1.63 2.726e+02  22.9760 
OBS: 61057.3068 LSST-i DDF  6.61548e+01  1.1776e+00 4096  1.000 34.900  1.71 1.725e+02  22.9285 
OBS: 61057.3315 LSST-z DDF  6.13634e+01  1.9101e+00 4096  1.000 34.780  1.74 2.502e+02  23.0338 
OBS: 61059.2987 LSST-i DDF  6.09414e+01  1.2908e+00 4096  1.000 34.900  1.89 1.721e+02  23.0368 
OBS: 61059.3234 LSST-z DDF  5.50376e+01  2.0325e+00 4096  1.000 34.780  1.86 2.496e+02  23.1101 
OBS: 61062.1634 LSST-i DDF  5.09750e+01  1.5982e+00 4096  1.000 34.890  2.10 1.918e+02  23.2166 
OBS: 61062.1811 LSST-z DDF  5.32558e+01  2.2281e+00 4096  1.000 34.750  1.87 2.652e+02  23.1956 
OBS: 61063.2828 LSST-i DDF  4.68158e+01  1.0802e+00 4096  1.000 34.910  1.59 1.725e+02  23.2907 
OBS: 61063.3075 LSST-z DDF  5.04613e+01  1.6121e+00 4096  1.000 34.780  1.47 2.496e+02  23.2264 
OBS: 61065.2162 LSST-Y DDF  4.42610e+01  4.1499e+00 4096  1.000 34.040  1.69 2.852e+02  23.5959 
OBS: 61065.2722 LSST-i DDF  4.36988e+01  1.1796e+00 4096  1.000 34.900  1.73 1.724e+02  23.4258 
OBS: 61065.3014 LSST-z DDF  5.01226e+01  2.0053e+00 4096  1.000 34.780  1.84 2.491e+02  23.2722 
OBS: 61067.2722 LSST-i DDF  3.71921e+01  1.3995e+00 4096  1.000 34.900  2.07 1.721e+02  23.5562 
OBS: 61067.2913 LSST-Y DDF  2.87875e+01  6.5255e+00 4096  1.000 33.360  2.10 1.932e+02  23.5692 
OBS: 61067.3014 LSST-z DDF  4.63942e+01  2.2977e+00 4096  1.000 34.770  2.09 2.496e+02  23.3098 
OBS: 61068.1627 LSST-z DDF  6.75799e+01  1.7935e+01    0  1.000 31.300  2.95 5.661e+01  23.3214 
OBS: 61068.1865 LSST-Y DDF  5.72748e+01  2.8216e+01    0  1.000 30.190  2.01 4.703e+01  23.5525 
OBS: 61070.1079 LSST-i DDF  3.53358e+01  3.8442e+00 4096  1.000 34.800  3.01 2.992e+02  23.7356 
OBS: 61070.1269 LSST-Y DDF  3.85215e+01  8.6790e+00    0  1.000 33.200  2.09 2.229e+02  23.5278 
OBS: 61070.1370 LSST-z DDF  4.37883e+01  3.3565e+00 4096  1.000 34.740  2.27 3.275e+02  23.3480 
OBS: 61077.0850 LSST-i DDF  1.92528e+01  3.7498e+00 4096  1.000 34.770  3.45 2.479e+02  24.1003 
OBS: 61077.1141 LSST-z DDF  3.45287e+01  4.1681e+00 4096  1.000 34.730  2.80 3.270e+02  23.6099 
OBS: 61077.1200 LSST-Y DDF  4.16305e+01  1.0997e+01    0  1.000 33.310  2.84 2.301e+02  23.6545 
OBS: 61078.1037 LSST-i DDF  2.19772e+01  2.4443e+00 4096  1.000 34.820  2.66 2.191e+02  24.1503 
OBS: 61078.1227 LSST-Y DDF  2.68689e+01  9.4511e+00    0  1.000 33.240  2.51 2.098e+02  23.7055 
OBS: 61078.1328 LSST-z DDF  3.40312e+01  3.0028e+00 4096  1.000 34.750  2.29 2.931e+02  23.6748 
OBS: 61079.1260 LSST-i DDF  2.22259e+01  1.7078e+00 4096  1.000 34.860  2.08 2.027e+02  24.1994 
OBS: 61079.1450 LSST-Y DDF  2.68651e+01  6.4610e+00 4096  1.000 33.300  1.87 2.033e+02  23.7636 
OBS: 61079.1562 LSST-z DDF  2.86771e+01  2.2069e+00 4096  1.000 34.810  1.87 2.785e+02  23.7452 
OBS: 61080.1452 LSST-i DDF  2.23316e+01  1.8775e+00 4096  1.000 34.880  2.49 1.898e+02  24.2470 
OBS: 61080.1642 LSST-Y DDF  3.09443e+01  5.8094e+00 4096  1.000 33.340  1.78 1.991e+02  23.8255 
OBS: 61080.1743 LSST-z DDF  3.12431e+01  2.2939e+00 4096  1.000 34.770  2.00 2.608e+02  23.8193 
OBS: 61081.1680 LSST-i DDF  1.90047e+01  1.3857e+00 4096  1.000 34.890  1.94 1.811e+02  24.2931 
OBS: 61081.1870 LSST-Y DDF  3.17948e+01  5.7541e+00    0  1.000 33.360  1.83 1.954e+02  23.8896 
OBS: 61081.1971 LSST-z DDF  2.72195e+01  2.1435e+00 4096  1.000 34.780  1.94 2.536e+02  23.8974 
OBS: 61082.1996 LSST-i DDF  2.05735e+01  1.0865e+00 4096  1.000 34.910  1.57 1.780e+02  24.3397 
OBS: 61082.2186 LSST-Y DDF  2.04859e+01  4.9415e+00 4096  1.000 33.370  1.60 1.938e+02  23.9577 
OBS: 61082.2288 LSST-z DDF  2.85526e+01  1.7750e+00 4096  1.000 34.780  1.62 2.510e+02  23.9773 
OBS: 61083.2301 LSST-i DDF  1.66869e+01  1.0794e+00 4096  1.000 34.910  1.58 1.760e+02  24.3868 
OBS: 61083.2548 LSST-z DDF  2.26968e+01  1.6185e+00 4096  1.000 34.780  1.47 2.523e+02  24.0540 
OBS: 61086.1577 LSST-i DDF  1.43522e+01  1.0527e+00 4096  1.000 35.630  2.06 2.566e+02  24.5166 
OBS: 61086.1824 LSST-z DDF  2.21885e+01  1.5010e+00 4096  1.000 35.520  1.87 3.644e+02  24.2565 
OBS: 61088.2098 LSST-i DDF  1.54135e+01  1.4066e+00 4096  1.000 34.900  2.07 1.741e+02  24.5944 
OBS: 61088.2345 LSST-z DDF  1.74555e+01  2.0988e+00    0  1.000 34.780  1.93 2.499e+02  24.3787 
OBS: 61089.1717 LSST-i DDF  1.17089e+01  7.3294e+00    0  1.000 31.650  2.41 3.912e+01  24.6282 
OBS: 61089.1955 LSST-z DDF  2.75225e+01  1.0078e+01    0  1.000 31.330  1.90 5.073e+01  24.4230 
OBS: 61090.2096 LSST-i DDF  1.39458e+01  1.1968e+00 4096  1.000 34.910  1.77 1.746e+02  24.6624 
OBS: 61090.2344 LSST-z DDF  1.48013e+01  1.7057e+00 4096  1.000 34.780  1.56 2.511e+02  24.4640 
OBS: 61094.1224 LSST-i DDF  1.14345e+01  1.5240e+00 4096  1.000 35.600  2.77 2.693e+02  24.7566 
OBS: 61094.1471 LSST-z DDF  1.86316e+01  1.8786e+00 4096  1.000 35.510  2.25 3.761e+02  24.5693 
OBS: 61095.0367 LSST-Y DDF -6.33279e+00  1.9428e+01    0  1.000 33.100  4.49 2.121e+02  24.6281 
OBS: 61096.1797 LSST-i DDF  1.05673e+01  1.3511e+00 4096  1.000 34.900  1.99 1.741e+02  24.7867 
OBS: 61096.1988 LSST-Y DDF  1.40555e+01  5.0354e+00    0  1.000 33.370  1.63 1.939e+02  24.6583 
OBS: 61096.2089 LSST-z DDF  1.82146e+01  2.1604e+00 4096  1.000 34.780  1.99 2.495e+02  24.5867 
OBS: 61098.2672 LSST-i DDF  9.98144e+00  1.5519e+00 4096  1.000 34.870  2.13 1.819e+02  24.8076 
OBS: 61098.2861 LSST-Y DDF  7.24498e+00  8.8639e+00    0  1.000 33.250  2.44 2.044e+02  24.6920 
OBS: 61098.2962 LSST-z DDF  2.06995e+01  3.6611e+00 4096  1.000 34.720  2.89 2.759e+02  24.5809 
END_PHOTOMETRY: 

