SURVEY:   LSST
SNID:             2711  # integer or string assigned by survey team (required)
ZP_FLUXCAL:  27.50  # mag = ZP_FLUXCAL - 2.5*log10(FLUXCAL) 
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       150.292969  # deg (avg among obs)
DEC:      1.268370  # deg (avg among obs)
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0172 +- 0.0000  # MW E(B-V) 
MWXT_MAG:  0.080 0.063 0.044 0.032 0.026 0.021  # MW mag-XT per band
PEAKMJD:  61473.148     # estimate for LC fit codes
MJD_TRIGGER:       61463.133  
MJD_DETECT_FIRST:  61463.109  
MJD_DETECT_LAST:   61510.062  

REDSHIFT_HELIO:   0.007901 +- 0.001000  # Helio 
REDSHIFT_FINAL:   0.009075 +- 0.001000  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      BAYESN.T21  
SIM_MODEL_INDEX:     13  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       BAYESN.T21 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           548941    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.00883 
SIM_REDSHIFT_CMB:    0.01000  
SIM_REDSHIFT_HOST:       0.00883    # z of true host
SIM_REDSHIFT_HOST_MATCH: 0.00000    # z of DDLR-matched host
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            33.1725   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_MUSHIFT:         0.0000   # user-defined shift 
SIM_RA:              150.292969     # deg  
SIM_DEC:             1.268370      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0172   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.135     # host extinction at 5510 A
SIM_RV:            2.610     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         61473.234    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        0.973    # BayeSN lumi-par
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  1.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -10.04  # days 
SIM_TRESTMAX:        36.51  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  -9.000 14.205 14.333 14.828 -9.000 -9.000  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 101 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 61463.1085 LSST-g DDF  7.52377e+04  1.3108e+01 4096  1.000 34.110  2.28 5.535e+01  15.3140 
OBS: 61463.1260 LSST-i DDF  5.29231e+04  7.4099e+00 4096  1.000 35.000  2.02 1.967e+02  15.6891 
OBS: 61463.1326 LSST-r DDF  6.62955e+04  7.7673e+00 6144  1.000 35.120  2.01 1.546e+02  15.4517 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=61463.1328
OBS: 61464.1309 LSST-g DDF  9.25482e+04  1.4178e+01 4096  1.000 34.160  1.49 5.597e+01  15.0767 
OBS: 61464.1378 LSST-i DDF  6.68797e+04  8.3830e+00 4096  1.000 34.960  1.42 1.802e+02  15.4371 
OBS: 61464.1482 LSST-r DDF  8.14712e+04  8.9669e+00 4096  1.000 35.020  1.39 1.342e+02  15.2232 
OBS: 61465.1673 LSST-g DDF  1.14118e+05  1.5758e+01 4096  1.000 34.160  2.29 5.542e+01  14.8633 
OBS: 61465.1749 LSST-i DDF  8.13354e+04  9.5297e+00 4096  1.000 34.900  1.89 1.740e+02  15.2267 
OBS: 61465.1846 LSST-r DDF  9.79418e+04  9.8918e+00 4096  1.000 35.010  1.93 1.322e+02  15.0200 
OBS: 61466.1699 LSST-g DDF  1.33653e+05  1.7048e+01 4096  1.000 34.160  2.26 5.531e+01  14.6892 
OBS: 61466.1775 LSST-i DDF  9.45677e+04  1.0273e+01 4096  1.000 34.900  2.01 1.734e+02  15.0637 
OBS: 61466.1872 LSST-r DDF  1.15025e+05  1.0818e+01 4096  1.000 34.990  2.20 1.236e+02  14.8509 
OBS: 61467.1664 LSST-g DDF  1.53670e+05  1.8186e+01 4096  1.000 34.170  1.97 5.491e+01  14.5358 
OBS: 61467.1728 LSST-i DDF  1.05256e+05  1.0514e+01 4096  1.000 34.960  1.78 1.767e+02  14.9360 
OBS: 61467.1808 LSST-r DDF  1.31059e+05  1.1213e+01 4096  1.000 35.050  1.76 1.260e+02  14.7092 
OBS: 61468.1788 LSST-r DDF  1.45526e+05  5.4261e+01 4096  1.000 31.740  1.88 2.767e+01  14.5923 
OBS: 61469.1600 LSST-g DDF  1.85518e+05  1.9977e+01 4096  1.000 34.170  1.90 5.483e+01  14.3167 
OBS: 61469.1676 LSST-i DDF  1.21887e+05  1.1641e+01 4096  1.000 34.900  2.04 1.720e+02  14.7875 
OBS: 61469.1773 LSST-r DDF  1.59787e+05  1.2734e+01 4096  1.000 34.990  2.15 1.224e+02  14.4966 
OBS: 61470.1737 LSST-i DDF  1.24363e+05  5.2178e+01 4096  1.000 31.660  1.74 3.866e+01  14.7610 
OBS: 61470.1977 LSST-r DDF  1.69964e+05  5.8312e+01 4096  1.000 31.750  1.53 2.772e+01  14.4206 
OBS: 61471.1594 LSST-g DDF  2.03847e+05  2.1146e+01 4096  1.000 34.150  2.55 5.483e+01  14.2280 
OBS: 61471.1670 LSST-i DDF  1.25349e+05  1.1795e+01 4096  1.000 34.900  1.92 1.731e+02  14.7589 
OBS: 61471.1767 LSST-r DDF  1.77602e+05  1.3419e+01 4096  1.000 34.990  2.07 1.231e+02  14.3719 
OBS: 61473.1497 LSST-g DDF  2.06437e+05  2.1070e+01 4096  1.000 34.170  1.78 5.506e+01  14.2053 
OBS: 61473.1573 LSST-i DDF  1.17071e+05  1.1420e+01 4096  1.000 34.900  2.13 1.728e+02  14.8244 
OBS: 61473.1670 LSST-r DDF  1.85158e+05  1.3779e+01 4096  1.000 34.980  2.53 1.226e+02  14.3332 
OBS: 61475.1501 LSST-g DDF  2.02128e+05  2.1049e+01 4096  1.000 34.150  2.19 5.461e+01  14.2420 
OBS: 61475.1578 LSST-i DDF  1.05366e+05  1.0835e+01 4096  1.000 34.900  2.04 1.726e+02  14.9417 
