SURVEY:   LSST
SNID:             5882  # integer or string assigned by survey team (required)
ZP_FLUXCAL:  27.50  # mag = ZP_FLUXCAL - 2.5*log10(FLUXCAL) 
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       150.644531  # deg (avg among obs)
DEC:      2.462686  # deg (avg among obs)
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0165 +- 0.0000  # MW E(B-V) 
MWXT_MAG:  0.077 0.061 0.042 0.031 0.025 0.020  # MW mag-XT per band
PEAKMJD:  61163.004     # estimate for LC fit codes
MJD_TRIGGER:       61152.078  
MJD_DETECT_FIRST:  61151.047  
MJD_DETECT_LAST:   61197.012  

REDSHIFT_HELIO:   0.010737 +- 0.001000  # Helio 
REDSHIFT_FINAL:   0.011912 +- 0.001000  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      BAYESN.T21  
SIM_MODEL_INDEX:     13  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       BAYESN.T21 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           208222    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.00883 
SIM_REDSHIFT_CMB:    0.01000  
SIM_REDSHIFT_HOST:       0.00883    # z of true host
SIM_REDSHIFT_HOST_MATCH: 0.00000    # z of DDLR-matched host
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            33.1726   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_MUSHIFT:         0.0000   # user-defined shift 
SIM_RA:              150.644531     # deg  
SIM_DEC:             2.462686      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0165   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.276     # host extinction at 5510 A
SIM_RV:            2.610     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         61160.996    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        -0.744    # BayeSN lumi-par
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  1.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -9.86  # days 
SIM_TRESTMAX:        35.70  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  -9.000 14.244 14.241 14.866 -9.000 -9.000  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 74 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 61151.0459 LSST-g DDF  1.02529e+05  1.5013e+01 4096  1.000 34.150  2.45 5.473e+01  14.9682 
OBS: 61151.0535 LSST-i DDF  7.03586e+04  8.9173e+00 4096  1.000 34.900  2.29 1.730e+02  15.3758 
OBS: 61151.0632 LSST-r DDF  9.42594e+04  9.8503e+00 4096  1.000 34.980  2.27 1.230e+02  15.0650 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=61152.0781
OBS: 61152.0787 LSST-g DDF  1.22423e+05  1.6422e+01 6144  1.000 34.150  3.06 5.737e+01  14.7846 
OBS: 61152.0863 LSST-i DDF  8.41736e+04  9.8861e+00 4096  1.000 34.890  3.10 1.761e+02  15.1822 
OBS: 61152.0961 LSST-r DDF  1.11436e+05  1.0858e+01 4096  1.000 34.960  3.31 1.242e+02  14.8829 
OBS: 61153.1381 LSST-g DDF  1.39681e+05  1.8503e+01 4096  1.000 34.030  2.21 5.419e+01  14.6254 
OBS: 61153.1457 LSST-i DDF  9.73974e+04  1.0725e+01 4096  1.000 34.840  1.90 1.884e+02  15.0316 
OBS: 61153.1554 LSST-r DDF  1.28611e+05  1.2030e+01 4096  1.000 34.880  2.04 1.292e+02  14.7257 
OBS: 61154.1690 LSST-i DDF  1.07199e+05  1.6398e+01 4096  1.000 34.070  3.28 1.481e+02  14.9236 
OBS: 61154.1814 LSST-g DDF  1.57774e+05  2.2508e+01 4096  1.000 33.740  3.10 4.993e+01  14.4985 
OBS: 61155.0239 LSST-r DDF  1.57113e+05  8.7075e+00 4096  1.000 35.830  2.73 3.627e+02  14.5131 
OBS: 61155.0244 LSST-i DDF  1.14114e+05  9.1391e+00 4096  1.000 35.380  2.19 3.223e+02  14.8558 
OBS: 61155.0350 LSST-g DDF  1.72185e+05  1.7922e+01 4096  1.000 34.350  2.70 1.612e+02  14.4085 
OBS: 61158.9688 LSST-i DDF  1.20032e+05  5.3282e+01 4096  1.000 31.690  3.06 7.672e+01  14.7994 
OBS: 61162.9875 LSST-g DDF  1.95661e+05  1.8919e+01 4096  1.000 34.360  1.95 1.821e+02  14.2745 
OBS: 61162.9951 LSST-i DDF  1.06314e+05  1.0738e+01 4096  1.000 34.940  1.77 2.590e+02  14.9346 
OBS: 61163.0048 LSST-r DDF  2.00992e+05  1.3675e+01 4096  1.000 35.090  1.58 2.749e+02  14.2442 
OBS: 61163.9809 LSST-g DDF  1.90553e+05  1.8917e+01 4096  1.000 34.320  1.63 1.095e+02  14.2998 
OBS: 61163.9885 LSST-i DDF  1.03762e+05  1.0597e+01 4096  1.000 34.930  1.53 2.206e+02  14.9657 
OBS: 61163.9982 LSST-r DDF  1.97207e+05  1.3647e+01 4096  1.000 35.070  1.67 2.085e+02  14.2599 
OBS: 61165.0849 LSST-g DDF  1.86294e+05  1.9510e+01 4096  1.000 34.260  2.98 1.683e+02  14.3333 
OBS: 61165.0925 LSST-i DDF  9.69998e+04  1.0624e+01 4096  1.000 34.890  2.44 2.456e+02  15.0194 
OBS: 61165.1022 LSST-r DDF  1.92261e+05  1.4115e+01 4096  1.000 35.000  3.01 2.472e+02  14.2860 
OBS: 61166.0865 LSST-g DDF  1.79766e+05  1.9254e+01 4096  1.000 34.240  2.98 1.388e+02  14.3673 
OBS: 61166.0941 LSST-i DDF  9.28945e+04  1.0728e+01 4096  1.000 34.880  3.62 2.350e+02  15.0815 
OBS: 61166.1038 LSST-r DDF  1.87471e+05  1.4261e+01 4096  1.000 34.980  4.27 2.285e+02  14.3180 
OBS: 61168.1082 LSST-g DDF  1.66202e+05  1.4452e+01 4096  1.000 34.760  2.74 1.023e+02  14.4518 
OBS: 61168.1158 LSST-i DDF  8.15627e+04  7.1908e+00 4096  1.000 35.550  2.55 2.938e+02  15.2221 
