FILENAME,MJD,BAND,FIELD_NO_S,FLUXCAL_NO_S,FLUXCALERR_NO_S,PHOTFLAG_NO_S,GAIN_NO_S,ZPT_NO_S,PSF_NO_S,SKY_SIG_NO_S,SIM_MAGOBS_NO_S,FIELD_PLUS_S,FLUXCAL_PLUS_S,FLUXCALERR_PLUS_S,PHOTFLAG_PLUS_S,GAIN_PLUS_S,ZPT_PLUS_S,PSF_PLUS_S,SKY_SIG_PLUS_S,SIM_MAGOBS_PLUS_S
SN000666,61012.1196,LSST-i,DDF,105.606,8.2161,4096,1.0,31.69,1.91,56.59,22.5091,DDF,93.8971,8.2011,4096,1.0,31.69,1.91,56.59,22.5585
SN000666,61021.0641,LSST-i,DDF,96.0248,1.0883,4096,1.0,34.91,1.67,161.6,22.5592,DDF,89.4339,1.0851,4096,1.0,34.91,1.67,161.6,22.609
SN000666,61021.0832,LSST-Y,DDF,79.9093,4.707,4096,1.0,33.38,1.57,188.7,22.791,DDF,91.4293,4.7125,4096,1.0,33.38,1.57,188.7,22.7033
SN000666,61021.0933,LSST-z,DDF,95.0256,1.8375,4096,1.0,34.78,1.73,240.4,22.5458,DDF,94.7446,1.8374,4096,1.0,34.78,1.73,240.4,22.5544
SN000100,61334.2359,LSST-r,DDF,3984.51,9.5554,4096,1.0,31.83,1.61,39.49,18.5009,DDF,3997.94,9.5685,4096,1.0,31.83,1.61,39.49,18.4967
SN000100,61334.2598,LSST-i,DDF,2961.05,9.1268,4096,1.0,31.69,1.45,42.14,18.8314,DDF,2929.7,9.0906,4096,1.0,31.69,1.45,42.14,18.8355
SN000100,61335.2392,LSST-r,DDF,4105.56,9.7597,4096,1.0,31.84,1.54,44.44,18.4581,DDF,4182.84,9.8322,4096,1.0,31.84,1.54,44.44,18.4491
SN000100,61335.2636,LSST-i,DDF,2968.01,9.1762,4096,1.0,31.7,1.38,46.09,18.829,DDF,2943.77,9.1485,4096,1.0,31.7,1.38,46.09,18.8251
SN000100,61338.1999,LSST-z,DDF,2304.4,12.039,4096,1.0,31.35,1.43,60.59,19.0938,DDF,2328.68,12.068,4096,1.0,31.35,1.43,60.59,19.0859
SN000100,61338.2238,LSST-i,DDF,2816.63,12.149,4096,1.0,31.71,2.13,60.45,18.8654,DDF,2860.39,12.186,4096,1.0,31.71,2.13,60.45,18.8615
SN000100,61341.3113,LSST-z,DDF,1924.1,9.1361,4096,1.0,32.1,1.85,78.7,19.2712,DDF,1926.23,9.1378,4096,1.0,32.1,1.85,78.7,19.2736
SN000100,61342.1425,LSST-g,DDF,3807.51,4.7922,4096,1.0,33.55,2.55,84.78,18.5496,DDF,3839.85,4.8051,4096,1.0,33.55,2.55,84.78,18.5397
SN000100,61342.1491,LSST-i,DDF,2474.39,3.1369,4096,1.0,34.17,1.83,152.7,19.0125,DDF,2389.17,3.1076,4096,1.0,34.17,1.83,152.7,19.0511
SN000100,61342.1589,LSST-r,DDF,3946.76,3.4927,4096,1.0,34.32,2.26,146.4,18.502,DDF,3949.11,3.4934,4096,1.0,34.32,2.26,146.4,18.5017
SN000100,61342.1779,LSST-z,DDF,1870.56,3.2878,4096,1.0,34.04,1.55,188.4,19.3242,DDF,1856.3,3.2826,4096,1.0,34.04,1.55,188.4,19.3291
SN000114,60939.3154,LSST-r,DDF,243.632,3.2502,4096,1.0,31.74,1.39,23.97,21.5328,DDF,263.466,3.311,4096,1.0,31.74,1.39,23.97,21.4594
SN000114,60940.3548,LSST-i,DDF,226.479,1.4287,4096,1.0,34.17,1.48,110.7,21.6088,DDF,238.273,1.4375,4096,1.0,34.17,1.48,110.7,21.5537
SN000114,60940.3645,LSST-r,DDF,254.902,1.1374,4096,1.0,34.24,1.65,75.0,21.4866,DDF,273.658,1.1539,4096,1.0,34.24,1.65,75.0,21.4124
SN000114,60948.1037,LSST-i,DDF,253.93,6.2559,4096,1.0,33.98,4.53,151.0,21.4824,DDF,265.689,6.2583,4096,1.0,33.98,4.53,151.0,21.4571
SN000114,60948.1092,LSST-r,DDF,263.296,3.7107,4096,1.0,34.06,3.67,117.2,21.4422,DDF,292.925,3.7202,4096,1.0,34.06,3.67,117.2,21.3718
SN000114,60948.1216,LSST-Y,DDF,75.8563,20.888,0,1.0,32.36,3.47,149.1,22.3208,DDF,121.329,20.901,0,1.0,32.36,3.47,149.1,22.3442
SN000114,60948.14,LSST-z,DDF,198.001,4.6337,4096,1.0,33.96,2.46,201.4,21.7283,DDF,208.272,4.6366,4096,1.0,33.96,2.46,201.4,21.7393
SN000114,60949.3919,LSST-z,DDF,221.492,19.952,0,1.0,31.36,2.71,72.1,21.7492,DDF,222.208,19.953,4096,1.0,31.36,2.71,72.1,21.7384
SN000114,60951.3817,LSST-i,DDF,234.814,5.2516,4096,1.0,31.66,1.63,37.86,21.5525,DDF,254.851,5.2927,4096,1.0,31.66,1.63,37.86,21.4896
SN001544,61398.1125,LSST-i,DDF,89.872,7.6804,4096,1.0,31.72,1.58,65.8,22.6976,DDF,72.7595,7.6575,4096,1.0,31.72,1.58,65.8,22.6684
SN001544,61398.1367,LSST-z,DDF,52.8114,13.423,4096,1.0,31.36,2.12,62.24,22.7479,DDF,77.3303,13.449,4096,1.0,31.36,2.12,62.24,22.7544
SN000128,61276.3309,LSST-i,DDF,47.1175,4.7536,4096,1.0,31.69,1.36,45.72,23.3341,DDF,48.4567,4.7565,4096,1.0,31.69,1.36,45.72,23.358
SN000128,61281.3265,LSST-Y,DDF,69.901,12.747,0,1.0,31.02,1.34,68.08,23.1316,DDF,59.7528,12.732,0,1.0,31.02,1.34,68.08,23.0419
SN000128,61287.3236,LSST-i,DDF,56.41,5.7397,6144,1.0,31.68,1.83,40.81,23.2483,DDF,47.8787,5.7239,6144,1.0,31.68,1.83,40.81,23.2112
SN001236,61477.1493,LSST-i,DDF,75.5546,1.3173,4096,1.0,34.95,1.96,176.9,22.8219,DDF,76.9449,1.3178,4096,1.0,34.95,1.96,176.9,22.7596
SN001236,61477.1717,LSST-z,DDF,76.7019,2.1779,4096,1.0,34.82,2.03,253.9,22.7812,DDF,83.7091,2.1798,4096,1.0,34.82,2.03,253.9,22.681
SN001236,61479.094,LSST-Y,DDF,78.2657,6.3492,4096,1.0,34.2,2.83,302.3,22.8972,DDF,65.1842,6.347,4096,1.0,34.2,2.83,302.3,22.8166
SN001236,61479.1469,LSST-i,DDF,76.9868,2.0967,4096,1.0,34.89,3.08,171.8,22.7547,DDF,84.4544,2.0987,4096,1.0,34.89,3.08,171.8,22.7146
SN001236,61479.176,LSST-z,DDF,82.7837,3.3598,4096,1.0,34.77,3.06,249.5,22.6982,DDF,86.6975,3.3605,4096,1.0,34.77,3.06,249.5,22.6433
SN001236,61481.2308,LSST-i,DDF,79.936,1.4186,4096,1.0,34.85,1.86,183.1,22.7152,DDF,85.2387,1.4207,4096,1.0,34.85,1.86,183.1,22.6953
SN001236,61481.2498,LSST-Y,DDF,71.7988,8.0105,4096,1.0,33.21,2.1,206.3,22.8888,DDF,79.6605,8.0131,4096,1.0,33.21,2.1,206.3,22.837
SN001236,61481.2599,LSST-z,DDF,94.838,3.049,4096,1.0,34.71,2.32,281.9,22.6468,DDF,86.0959,3.0471,4096,1.0,34.71,2.32,281.9,22.6296
SN001236,61482.0201,LSST-z,DDF,91.8196,14.129,0,1.0,31.3,1.95,67.21,22.6366,DDF,96.4415,14.134,0,1.0,31.3,1.95,67.21,22.6304
SN001236,61482.0439,LSST-Y,DDF,-6.31708,35.772,0,1.0,30.16,2.31,50.62,22.8887,DDF,66.8424,35.853,0,1.0,30.16,2.31,50.62,22.8458
SN001236,61488.0922,LSST-i,DDF,70.4293,9.9908,4096,1.0,31.69,1.97,67.34,22.7354,DDF,86.1577,10.007,4096,1.0,31.69,1.97,67.34,22.7556
SN001236,61489.0218,LSST-i,DDF,82.9324,1.9866,4096,1.0,34.9,2.16,233.9,22.7544,DDF,78.3478,1.9854,4096,1.0,34.9,2.16,233.9,22.7772
SN001236,61489.0408,LSST-Y,DDF,54.2963,7.1272,4096,1.0,33.33,2.09,206.1,22.9908,DDF,69.4264,7.1321,0,1.0,33.33,2.09,206.1,22.9855
SN001236,61489.0509,LSST-z,DDF,79.5856,2.688,4096,1.0,34.78,2.09,294.3,22.7324,DDF,81.6978,2.6885,4096,1.0,34.78,2.09,294.3,22.7642
SN000896,61333.1521,LSST-i,DDF,13658.6,17.937,6144,1.0,31.7,1.79,45.48,17.1557,DDF,12866.7,17.469,6144,1.0,31.7,1.79,45.48,17.2186
SN000896,61333.1761,LSST-z,DDF,12711.3,20.685,4096,1.0,31.35,1.47,52.08,17.239,DDF,12140.9,20.283,4096,1.0,31.35,1.47,52.08,17.2869
SN000896,61335.1932,LSST-i,DDF,13388.4,17.916,4096,1.0,31.71,1.63,55.35,17.198,DDF,12932.3,17.651,4096,1.0,31.71,1.63,55.35,17.2188
SN000896,61335.2179,LSST-z,DDF,12517.2,22.2,4096,1.0,31.35,1.92,58.49,17.2473,DDF,12068.0,21.906,4096,1.0,31.35,1.92,58.49,17.2888
SN000869,60926.2965,LSST-Y,DDF,119.479,15.071,0,1.0,31.78,2.06,105.8,22.2592,DDF,117.678,15.07,4096,1.0,31.78,2.06,105.8,22.3684
SN000869,60930.1574,LSST-r,DDF,258.22,7.1532,4096,1.0,31.79,2.89,34.5,21.4924,DDF,254.603,7.1483,4096,1.0,31.79,2.89,34.5,21.4784
SN000869,60930.3198,LSST-i,DDF,247.274,8.8482,4096,1.0,31.68,2.5,45.31,21.5253,DDF,250.243,8.8518,4096,1.0,31.68,2.5,45.31,21.5029
SN000869,60930.3415,LSST-z,DDF,216.931,17.414,4096,1.0,31.33,3.12,53.03,21.8174,DDF,188.69,17.39,4096,1.0,31.33,3.12,53.03,21.8108
SN000869,60935.2931,LSST-r,DDF,253.916,3.4771,4096,1.0,32.49,2.46,35.07,21.509,DDF,255.901,3.48,4096,1.0,32.49,2.46,35.07,21.4692
SN000699,61818.0441,LSST-g,DDF,14087.4,5.6464,4096,1.0,34.13,1.76,50.27,17.1266,DDF,14128.4,5.6545,4096,1.0,34.13,1.76,50.27,17.1264
SN000699,61818.0517,LSST-i,DDF,8894.48,3.3019,4096,1.0,34.9,1.63,169.2,17.6253,DDF,8738.63,3.2759,4096,1.0,34.9,1.63,169.2,17.6503
SN000699,61818.0614,LSST-r,DDF,11931.4,3.5698,4096,1.0,34.97,1.62,117.1,17.3111,DDF,12332.8,3.6271,4096,1.0,34.97,1.62,117.1,17.2735
SN000699,61818.0808,LSST-z,DDF,7746.55,3.8592,4096,1.0,34.75,1.96,259.2,17.7772,DDF,7992.81,3.8991,4096,1.0,34.75,1.96,259.2,17.742
SN000699,61821.0508,LSST-z,DDF,8481.2,18.991,4096,1.0,31.32,1.94,51.25,17.6792,DDF,8698.26,19.159,4096,1.0,31.32,1.94,51.25,17.6465
SN000699,61821.0752,LSST-i,DDF,9291.4,15.77,4096,1.0,31.61,1.92,39.79,17.5891,DDF,8876.1,15.468,4096,1.0,31.61,1.92,39.79,17.6378
SN000699,61822.0475,LSST-r,DDF,14539.5,17.707,4096,1.0,31.71,1.83,26.39,17.0912,DDF,14976.2,17.961,4096,1.0,31.71,1.83,26.39,17.0528
SN000699,61822.0717,LSST-i,DDF,9109.13,15.713,4096,1.0,31.61,1.98,39.76,17.6051,DDF,8648.09,15.376,4096,1.0,31.61,1.98,39.76,17.6617
SN000699,61825.0357,LSST-g,DDF,15843.4,6.1301,4096,1.0,34.1,2.73,51.08,16.9986,DDF,15576.5,6.08,4096,1.0,34.1,2.73,51.08,17.0157
SN000699,61825.0433,LSST-i,DDF,8581.73,3.4965,4096,1.0,34.88,2.39,171.7,17.6687,DDF,7967.06,3.3969,4096,1.0,34.88,2.39,171.7,17.7491
SN000699,61825.053,LSST-r,DDF,14737.1,4.1317,4096,1.0,34.94,2.76,118.3,17.0815,DDF,15004.4,4.1658,4096,1.0,34.94,2.76,118.3,17.07
SN000699,61825.0679,LSST-z,DDF,7954.93,4.3865,4096,1.0,34.74,2.56,262.1,17.7548,DDF,7972.39,4.389,4096,1.0,34.74,2.56,262.1,17.7478
SN000699,61826.0578,LSST-g,DDF,15411.5,19.695,4096,1.0,31.54,2.79,16.06,17.032,DDF,15047.2,19.47,4096,1.0,31.54,2.79,16.06,17.0517
SN000841,61442.0347,LSST-i,DDF,89.7701,6.0369,4096,1.0,31.68,1.92,40.57,22.6786,DDF,85.0453,6.0285,4096,1.0,31.68,1.92,40.57,22.6085
SN000841,61442.047,LSST-z,DDF,73.431,8.8031,4096,1.0,31.34,1.73,48.63,22.6926,DDF,79.8504,8.8137,4096,1.0,31.34,1.73,48.63,22.5984
SN000841,61445.0585,LSST-i,DDF,90.076,1.3112,4096,1.0,34.9,1.98,165.4,22.6012,DDF,96.0135,1.3137,4096,1.0,34.9,1.98,165.4,22.5423
SN000841,61445.0832,LSST-z,DDF,94.2327,2.7847,4096,1.0,34.76,2.5,250.0,22.5683,DDF,97.0584,2.7853,4096,1.0,34.76,2.5,250.0,22.5213
SN000841,61450.0273,LSST-z,DDF,95.0922,12.773,4096,1.0,31.35,2.08,59.56,22.514,DDF,85.6513,12.763,4096,1.0,31.35,2.08,59.56,22.4982
SN000841,61450.0392,LSST-Y,DDF,114.299,25.92,0,1.0,30.24,1.97,45.98,22.7042,DDF,87.1596,25.878,0,1.0,30.24,1.97,45.98,22.724
SN000841,61453.0546,LSST-i,DDF,90.2169,2.3155,4096,1.0,34.91,2.63,226.5,22.6059,DDF,93.7739,2.3163,4096,1.0,34.91,2.63,226.5,22.5437
SN000841,61453.0736,LSST-Y,DDF,83.6866,8.9983,0,1.0,33.31,2.58,206.9,22.7427,DDF,77.8011,8.9968,4096,1.0,33.31,2.58,206.9,22.7758
SN000841,61453.0837,LSST-z,DDF,104.538,4.6,4096,1.0,34.75,3.5,293.6,22.5556,DDF,92.9817,4.5984,4096,1.0,34.75,3.5,293.6,22.5326
SN000841,61454.0204,LSST-z,DDF,94.9152,13.323,4096,1.0,31.36,1.79,72.91,22.5755,DDF,94.99,13.323,4096,1.0,31.36,1.79,72.91,22.5481
