FILENAME,MJD,BAND,FIELD_NO_S,FLUXCAL_NO_S,FLUXCALERR_NO_S,PHOTFLAG_NO_S,GAIN_NO_S,ZPT_NO_S,PSF_NO_S,SKY_SIG_NO_S,SIM_MAGOBS_NO_S,FIELD_PLUS_S,FLUXCAL_PLUS_S,FLUXCALERR_PLUS_S,PHOTFLAG_PLUS_S,GAIN_PLUS_S,ZPT_PLUS_S,PSF_PLUS_S,SKY_SIG_PLUS_S,SIM_MAGOBS_PLUS_S
SN000001,61794.0825,LSST-r,DDF,132721.0,5.2012,4096,1.0,36.73,1.6,243.8,14.6835,DDF,147745.0,5.4869,4096,1.0,36.73,1.6,243.8,14.5788
SN000001,61795.0967,LSST-g,DDF,168515.0,2.7386,6144,1.0,38.38,1.59,332.6,14.4213,DDF,186588.0,2.8815,6144,1.0,38.38,1.59,332.6,14.3153
SN000001,61795.1033,LSST-i,DDF,109874.0,1.5482,4096,1.0,39.16,1.38,1156.0,14.8982,DDF,115119.0,1.5844,4096,1.0,39.16,1.38,1156.0,14.8429
SN000001,61795.113,LSST-r,DDF,150376.0,1.7502,4096,1.0,39.23,1.49,786.2,14.561,DDF,163372.0,1.8241,4096,1.0,39.23,1.49,786.2,14.4724
SN000001,61800.1048,LSST-r,DDF,199163.0,6.4314,4096,1.0,36.71,2.02,246.5,14.2556,DDF,204407.0,6.5153,4096,1.0,36.71,2.02,246.5,14.2208
SN000001,61800.1287,LSST-g,DDF,219159.0,7.1556,4096,1.0,36.58,2.03,148.5,14.1452,DDF,232146.0,7.3643,4096,1.0,36.58,2.03,148.5,14.0964
SN000001,61802.0967,LSST-g,DDF,218760.0,3.1493,4096,1.0,38.36,1.89,334.2,14.1539,DDF,223239.0,3.1813,4096,1.0,38.36,1.89,334.2,14.1218
SN000001,61802.1033,LSST-i,DDF,111339.0,1.5759,4096,1.0,39.14,1.73,1166.0,14.8767,DDF,120822.0,1.6409,4096,1.0,39.14,1.73,1166.0,14.8054
SN000001,61802.113,LSST-r,DDF,199301.0,2.0444,4096,1.0,39.2,2.13,790.1,14.246,DDF,204698.0,2.0718,4096,1.0,39.2,2.13,790.1,14.2166
SN000002,61813.1014,LSST-g,DDF,221077.0,2.8745,4096,1.0,38.58,1.63,1377.0,14.1463,DDF,230816.0,2.9365,4096,1.0,38.58,1.63,1377.0,14.0924
