FILENAME,MJD,BAND,FIELD,FLUXCAL,FLUXCALERR,PHOTFLAG,GAIN,ZPT,PSF,SKY_SIG,SIM_MAGOBS
MC_BAYSN_NOSCATTER_SN000001.DAT,61794.0825,LSST-r,DDF,132721.0,5.2012,4096,1.0,36.73,1.6,243.8,14.6835
MC_BAYSN_NOSCATTER_SN000001.DAT,61795.0967,LSST-g,DDF,168515.0,2.7386,6144,1.0,38.38,1.59,332.6,14.4213
MC_BAYSN_NOSCATTER_SN000001.DAT,61795.1033,LSST-i,DDF,109874.0,1.5482,4096,1.0,39.16,1.38,1156.0,14.8982
MC_BAYSN_NOSCATTER_SN000001.DAT,61795.113,LSST-r,DDF,150376.0,1.7502,4096,1.0,39.23,1.49,786.2,14.561
MC_BAYSN_NOSCATTER_SN000001.DAT,61800.1048,LSST-r,DDF,199163.0,6.4314,4096,1.0,36.71,2.02,246.5,14.2556
MC_BAYSN_NOSCATTER_SN000001.DAT,61800.1287,LSST-g,DDF,219159.0,7.1556,4096,1.0,36.58,2.03,148.5,14.1452
MC_BAYSN_NOSCATTER_SN000001.DAT,61802.0967,LSST-g,DDF,218760.0,3.1493,4096,1.0,38.36,1.89,334.2,14.1539
MC_BAYSN_NOSCATTER_SN000001.DAT,61802.1033,LSST-i,DDF,111339.0,1.5759,4096,1.0,39.14,1.73,1166.0,14.8767
MC_BAYSN_NOSCATTER_SN000001.DAT,61802.113,LSST-r,DDF,199301.0,2.0444,4096,1.0,39.2,2.13,790.1,14.246
MC_BAYSN_NOSCATTER_SN000002.DAT,61813.1014,LSST-g,DDF,221077.0,2.8745,4096,1.0,38.58,1.63,1377.0,14.1463
MC_BAYSN_NOSCATTER_SN000002.DAT,61813.1101,LSST-i,DDF,125483.0,1.6619,4096,1.0,39.17,1.9,1784.0,14.7557
MC_BAYSN_NOSCATTER_SN000002.DAT,61813.1198,LSST-r,DDF,197290.0,1.9666,4096,1.0,39.29,2.08,1911.0,14.2606
MC_BAYSN_NOSCATTER_SN000002.DAT,61814.0306,LSST-i,DDF,123274.0,5.1402,6144,1.0,36.68,1.43,401.3,14.7686
MC_BAYSN_NOSCATTER_SN000002.DAT,61817.0729,LSST-g,DDF,223884.0,3.2008,4096,1.0,38.35,1.97,335.2,14.1254
MC_BAYSN_NOSCATTER_SN000002.DAT,61817.0816,LSST-i,DDF,113882.0,1.5949,4096,1.0,39.14,1.85,1179.0,14.8569
MC_BAYSN_NOSCATTER_SN000002.DAT,61817.0913,LSST-r,DDF,210891.0,2.1022,4096,1.0,39.2,1.93,800.0,14.1892
MC_BAYSN_NOSCATTER_SN000002.DAT,61819.1058,LSST-i,DDF,107719.0,4.9553,4096,1.0,36.62,1.88,382.2,14.9066
MC_BAYSN_NOSCATTER_SN000002.DAT,61822.187,LSST-g,DDF,194831.0,8.1217,4096,1.0,36.18,2.92,142.8,14.2773
MC_BAYSN_NOSCATTER_SN000002.DAT,61823.0243,LSST-i,DDF,90013.6,4.4228,4096,1.0,36.67,1.62,387.1,15.1093
MC_BAYSN_NOSCATTER_SN000002.DAT,61824.0375,LSST-g,DDF,178331.0,2.8171,4096,1.0,38.38,1.51,341.4,14.3761
MC_BAYSN_NOSCATTER_SN000002.DAT,61824.0561,LSST-i,DDF,84651.9,1.3122,4096,1.0,39.24,1.48,1239.0,15.172
MC_BAYSN_NOSCATTER_SN000002.DAT,61824.0627,LSST-r,DDF,169868.0,1.7847,4096,1.0,39.32,1.55,839.3,14.4253
MC_BAYSN_NOSCATTER_SN000003.DAT,61009.1065,LSST-i,DDF,109807.0,3.4524,4096,1.0,37.43,1.93,624.1,14.8997
MC_BAYSN_NOSCATTER_SN000003.DAT,61015.0995,LSST-g,DDF,175072.0,2.4898,4096,1.0,38.64,1.74,1249.0,14.3932
MC_BAYSN_NOSCATTER_SN000003.DAT,61015.1082,LSST-i,DDF,81973.1,1.3131,4096,1.0,39.21,1.29,1742.0,15.2158
MC_BAYSN_NOSCATTER_SN000003.DAT,61015.1179,LSST-r,DDF,163239.0,1.7167,4096,1.0,39.37,1.52,1825.0,14.4657
MC_BAYSN_NOSCATTER_SN000003.DAT,61016.1974,LSST-r,DDF,154321.0,3.8016,4096,1.0,37.6,2.65,717.4,14.5339
MC_BAYSN_NOSCATTER_SN000003.DAT,61016.2213,LSST-i,DDF,75693.3,2.9246,4096,1.0,37.44,2.79,712.2,15.3065
MC_BAYSN_NOSCATTER_SN000004.DAT,61873.2105,LSST-g,DDF,145947.0,2.002,4096,1.0,38.95,2.48,1778.0,14.5927
MC_BAYSN_NOSCATTER_SN000004.DAT,61873.2181,LSST-i,DDF,94324.0,1.1411,4096,1.0,39.73,2.39,2800.0,15.0616
MC_BAYSN_NOSCATTER_SN000004.DAT,61874.02,LSST-r,DDF,139586.0,0.83545,6144,1.0,40.76,1.94,2031.0,14.6352
MC_BAYSN_NOSCATTER_SN000004.DAT,61874.0252,LSST-g,DDF,164343.0,1.8889,4096,1.0,39.16,1.77,545.7,14.4657
MC_BAYSN_NOSCATTER_SN000004.DAT,61874.0329,LSST-i,DDF,106142.0,1.081,4096,1.0,39.91,1.75,1836.0,14.9354
MC_BAYSN_NOSCATTER_SN000004.DAT,61875.0565,LSST-g,DDF,184361.0,1.991,4096,1.0,39.17,1.59,547.0,14.326
MC_BAYSN_NOSCATTER_SN000004.DAT,61875.0641,LSST-i,DDF,118226.0,1.1373,4096,1.0,39.91,1.42,1730.0,14.8172
MC_BAYSN_NOSCATTER_SN000004.DAT,61875.0739,LSST-r,DDF,158922.0,1.2456,4096,1.0,40.03,1.51,1447.0,14.4932
MC_BAYSN_NOSCATTER_SN000004.DAT,61877.0408,LSST-g,DDF,222022.0,2.2192,4096,1.0,39.14,3.56,541.6,14.1314
MC_BAYSN_NOSCATTER_SN000004.DAT,61877.0484,LSST-i,DDF,133486.0,1.2322,4096,1.0,39.89,3.01,1720.0,14.687
MC_BAYSN_NOSCATTER_SN000004.DAT,61877.0581,LSST-r,DDF,192597.0,1.406,4096,1.0,39.98,2.79,1220.0,14.2961
MC_BAYSN_NOSCATTER_SN000004.DAT,61879.0405,LSST-g,DDF,246477.0,2.302,4096,1.0,39.17,1.74,549.6,14.0189
MC_BAYSN_NOSCATTER_SN000004.DAT,61879.0482,LSST-i,DDF,136821.0,1.2242,4096,1.0,39.91,1.65,1731.0,14.6633
MC_BAYSN_NOSCATTER_SN000004.DAT,61879.0579,LSST-r,DDF,212357.0,1.4659,4096,1.0,39.99,1.72,1230.0,14.1738
MC_BAYSN_NOSCATTER_SN000004.DAT,61883.0921,LSST-g,DDF,246402.0,2.3695,4096,1.0,39.11,3.33,545.1,14.0141
MC_BAYSN_NOSCATTER_SN000004.DAT,61883.0997,LSST-i,DDF,122571.0,1.2056,4096,1.0,39.87,3.78,1775.0,14.784
MC_BAYSN_NOSCATTER_SN000004.DAT,61883.1094,LSST-r,DDF,231373.0,1.5654,4096,1.0,39.95,3.59,1249.0,14.0818
MC_BAYSN_NOSCATTER_SN000004.DAT,61884.0275,LSST-g,DDF,247223.0,2.3165,4096,1.0,39.16,1.98,551.2,14.0213
MC_BAYSN_NOSCATTER_SN000004.DAT,61884.0352,LSST-i,DDF,119309.0,1.1506,4096,1.0,39.9,1.86,1732.0,14.8092
MC_BAYSN_NOSCATTER_SN000004.DAT,61884.0449,LSST-r,DDF,232973.0,1.5361,4096,1.0,39.99,2.07,1232.0,14.0815
MC_BAYSN_NOSCATTER_SN000004.DAT,61885.0079,LSST-r,DDF,231004.0,6.7969,4096,1.0,36.75,1.69,272.6,14.0858
MC_BAYSN_NOSCATTER_SN000005.DAT,61106.0262,LSST-g,DDF,164301.0,1.9704,6144,1.0,39.07,2.58,530.8,14.4601
MC_BAYSN_NOSCATTER_SN000005.DAT,61106.0338,LSST-i,DDF,78345.5,0.96339,4096,1.0,39.87,2.66,1996.0,15.2663
MC_BAYSN_NOSCATTER_SN000005.DAT,61106.0435,LSST-r,DDF,155143.0,1.2752,4096,1.0,39.97,2.63,1844.0,14.5193
MC_BAYSN_NOSCATTER_SN000006.DAT,61752.2084,LSST-i,DDF,119943.0,5.0647,4096,1.0,36.71,1.67,739.6,14.7995
MC_BAYSN_NOSCATTER_SN000006.DAT,61754.0755,LSST-g,DDF,248622.0,2.0738,4096,1.0,39.41,1.76,1311.0,14.0183
MC_BAYSN_NOSCATTER_SN000006.DAT,61754.1208,LSST-i,DDF,113167.0,1.0804,4096,1.0,39.98,1.37,2432.0,14.8623
MC_BAYSN_NOSCATTER_SN000006.DAT,61754.143,LSST-r,DDF,221895.0,1.4085,4096,1.0,40.13,1.5,2622.0,14.1338
MC_BAYSN_NOSCATTER_SN000006.DAT,61756.1897,LSST-r,DDF,204200.0,6.1689,4096,1.0,36.83,1.56,443.1,14.2166
MC_BAYSN_NOSCATTER_SN000006.DAT,61756.2138,LSST-i,DDF,102582.0,4.7043,4096,1.0,36.68,1.52,477.7,14.9807
MC_BAYSN_NOSCATTER_SN000006.DAT,61758.1758,LSST-g,DDF,203174.0,1.9872,4096,1.0,39.28,1.54,707.8,14.2249
MC_BAYSN_NOSCATTER_SN000006.DAT,61758.1834,LSST-i,DDF,91453.9,0.99836,4096,1.0,39.92,1.63,1779.0,15.1052
MC_BAYSN_NOSCATTER_SN000006.DAT,61758.1931,LSST-r,DDF,185516.0,1.3396,4096,1.0,40.04,1.59,1468.0,14.3301
MC_BAYSN_NOSCATTER_SN000007.DAT,61699.1395,LSST-g,DDF,133530.0,1.6708,4096,1.0,39.2,1.13,480.5,14.6909
MC_BAYSN_NOSCATTER_SN000007.DAT,61699.1471,LSST-i,DDF,95598.3,1.0134,4096,1.0,39.93,1.43,1578.0,15.0475
MC_BAYSN_NOSCATTER_SN000007.DAT,61699.1569,LSST-r,DDF,125252.0,1.1207,4096,1.0,40.0,1.52,1088.0,14.7654
MC_BAYSN_NOSCATTER_SN000007.DAT,61705.1812,LSST-r,DDF,166367.0,5.7943,6144,1.0,36.74,1.54,244.4,14.4433
MC_BAYSN_NOSCATTER_SN000007.DAT,61708.1152,LSST-g,DDF,159000.0,1.8666,4096,1.0,39.15,2.08,470.3,14.4981
MC_BAYSN_NOSCATTER_SN000007.DAT,61708.1229,LSST-i,DDF,90119.4,0.99049,4096,1.0,39.92,1.75,1568.0,15.1057
MC_BAYSN_NOSCATTER_SN000007.DAT,61708.1326,LSST-r,DDF,157634.0,1.2572,4096,1.0,40.0,1.69,1081.0,14.51
MC_BAYSN_NOSCATTER_SN000008.DAT,61762.2976,LSST-r,DDF,234446.0,6.8799,4096,1.0,36.74,1.67,292.7,14.0661
MC_BAYSN_NOSCATTER_SN000008.DAT,61762.3237,LSST-g,DDF,265090.0,7.4128,6144,1.0,36.71,1.79,204.1,13.9363
MC_BAYSN_NOSCATTER_SN000011.DAT,61363.2216,LSST-i,DDF,111524.0,4.9071,6144,1.0,36.68,1.95,399.5,14.8716
MC_BAYSN_NOSCATTER_SN000011.DAT,61364.2458,LSST-i,DDF,108924.0,4.8441,4096,1.0,36.68,1.69,418.8,14.9003
MC_BAYSN_NOSCATTER_SN000011.DAT,61364.2721,LSST-r,DDF,189263.0,6.1022,4096,1.0,36.77,1.96,296.6,14.3106
MC_BAYSN_NOSCATTER_SN000011.DAT,61364.2837,LSST-g,DDF,198105.0,2.9829,4096,1.0,38.37,1.72,324.9,14.2516
MC_BAYSN_NOSCATTER_SN000011.DAT,61365.0469,LSST-i,DDF,107111.0,1.572,4096,1.0,39.13,2.18,1685.0,14.9248
MC_BAYSN_NOSCATTER_SN000011.DAT,61365.0566,LSST-r,DDF,186792.0,1.9305,4096,1.0,39.27,2.3,1629.0,14.312
MC_BAYSN_NOSCATTER_SN000012.DAT,61395.0616,LSST-g,DDF,147226.0,1.6227,4096,1.0,39.4,1.99,2229.0,14.5881
