FILENAME,MJD,BAND,FIELD,FLUXCAL,FLUXCALERR,PHOTFLAG,GAIN,ZPT,PSF,SKY_SIG,SIM_MAGOBS
MYC21_073025_SIM_PLUSSCATTER_SN001439.DAT,61556.4285,LSST-i,DDF,335.598,14.261,4096,1.0,32.2,3.6,83.84,21.1896
MYC21_073025_SIM_PLUSSCATTER_SN000727.DAT,61650.2264,LSST-i,DDF,92.3008,2.3908,4096,1.0,34.05,2.12,130.0,22.5961
MYC21_073025_SIM_PLUSSCATTER_SN000727.DAT,61650.2516,LSST-z,DDF,92.5019,2.9967,4096,1.0,33.99,1.75,188.0,22.6209
MYC21_073025_SIM_PLUSSCATTER_SN000727.DAT,61657.2061,LSST-i,DDF,102.132,2.7767,4096,1.0,34.06,2.14,151.6,22.5118
MYC21_073025_SIM_PLUSSCATTER_SN000727.DAT,61657.225,LSST-Y,DDF,74.0739,11.021,4096,1.0,32.47,2.06,146.3,22.6946
MYC21_073025_SIM_PLUSSCATTER_SN000727.DAT,61657.2357,LSST-z,DDF,106.311,3.3404,4096,1.0,33.99,1.88,195.3,22.5137
MYC21_073025_SIM_PLUSSCATTER_SN000055.DAT,60840.9825,LSST-i,DDF,76.922,2.4124,4096,1.0,34.86,3.05,194.6,22.8385
MYC21_073025_SIM_PLUSSCATTER_SN000055.DAT,60841.0015,LSST-Y,DDF,50.5483,11.951,0,1.0,33.22,3.13,208.9,22.9564
MYC21_073025_SIM_PLUSSCATTER_SN000055.DAT,60841.0116,LSST-z,DDF,70.5238,4.3012,6144,1.0,34.71,3.21,288.7,22.857
MYC21_073025_SIM_PLUSSCATTER_SN001405.DAT,61755.1993,LSST-z,DDF,71.4624,5.4561,4096,1.0,32.1,1.33,78.66,22.8101
MYC21_073025_SIM_PLUSSCATTER_SN001405.DAT,61755.2128,LSST-Y,DDF,46.8774,18.426,0,1.0,30.23,1.35,47.32,22.9649
MYC21_073025_SIM_PLUSSCATTER_SN001405.DAT,61756.2152,LSST-i,DDF,84.6391,6.1199,4096,1.0,31.67,1.63,48.1,22.7734
MYC21_073025_SIM_PLUSSCATTER_SN001405.DAT,61758.1834,LSST-i,DDF,83.8091,1.1468,4096,1.0,34.92,1.63,177.9,22.6832
MYC21_073025_SIM_PLUSSCATTER_SN001405.DAT,61758.2023,LSST-Y,DDF,64.4144,4.2344,4096,1.0,33.38,1.38,193.1,22.9032
MYC21_073025_SIM_PLUSSCATTER_SN001405.DAT,61758.2125,LSST-z,DDF,85.8242,1.632,4096,1.0,34.78,1.44,255.9,22.6841
MYC21_073025_SIM_PLUSSCATTER_SN001405.DAT,61764.1882,LSST-i,DDF,91.1281,3.2517,4096,1.0,32.4,1.53,52.03,22.6028
MYC21_073025_SIM_PLUSSCATTER_SN001405.DAT,61766.112,LSST-i,DDF,88.0844,0.98994,4096,1.0,34.92,1.58,156.0,22.6184
