SURVEY:   LSST
SNID:             1758  # integer or string assigned by survey team (required)
ZP_FLUXCAL:  27.50  # mag = ZP_FLUXCAL - 2.5*log10(FLUXCAL) 
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       51.591797  # deg (avg among obs)
DEC:      -27.615883  # deg (avg among obs)
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0109 +- 0.0000  # MW E(B-V) 
MWXT_MAG:  0.051 0.040 0.028 0.021 0.016 0.013  # MW mag-XT per band
PEAKMJD:  61736.215     # estimate for LC fit codes
MJD_TRIGGER:       61725.047  
MJD_DETECT_FIRST:  61724.250  
MJD_DETECT_LAST:   61779.121  

REDSHIFT_HELIO:   0.266903 +- 0.001000  # Helio 
REDSHIFT_FINAL:   0.266381 +- 0.001000  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      BAYESN.T21  
SIM_MODEL_INDEX:     13  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       BAYESN.T21 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           353103    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.26571 
SIM_REDSHIFT_CMB:    0.26519  
SIM_REDSHIFT_HOST:       0.26571    # z of true host
SIM_REDSHIFT_HOST_MATCH: 0.00000    # z of DDLR-matched host
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            40.6427   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_MUSHIFT:         0.0000   # user-defined shift 
SIM_RA:              51.591797     # deg  
SIM_DEC:             -27.615883      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0109   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.273     # host extinction at 5510 A
SIM_RV:            2.610     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         61735.281    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        1.150    # BayeSN lumi-par
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  1.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -9.45  # days 
SIM_TRESTMAX:        37.82  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  -9.000 -9.000 21.737 21.647 21.915 22.288  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 62 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 61723.3293 LSST-Y DDF  8.84826e+01  3.2081e+01    0  1.000 30.930  2.75 7.736e+01  22.9425 
OBS: 61724.2501 LSST-z DDF  7.37898e+01  1.6139e+01 4096  1.000 31.360  2.54 6.247e+01  22.5791 
OBS: 61724.2749 LSST-Y DDF  7.75548e+01  2.7855e+01    0  1.000 30.250  2.01 4.902e+01  22.7804 
OBS: 61725.0462 LSST-i DDF  1.11347e+02  1.7521e+00 6144  1.000 34.860  2.43 1.751e+02  22.3870 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=61725.0469
OBS: 61725.0559 LSST-r DDF  1.00768e+02  1.4216e+00 4096  1.000 35.000  2.42 1.615e+02  22.4787 
OBS: 61725.0652 LSST-Y DDF  9.05903e+01  6.8826e+00 4096  1.000 33.330  2.05 2.025e+02  22.6625 
OBS: 61725.0753 LSST-z DDF  1.08623e+02  2.6654e+00 4096  1.000 34.780  2.16 2.816e+02  22.4579 
OBS: 61726.2538 LSST-z DDF  1.25800e+02  7.7810e+00 4096  1.000 32.100  1.93 7.749e+01  22.3095 
OBS: 61726.2685 LSST-Y DDF  5.27378e+01  2.7906e+01    0  1.000 30.250  2.12 4.662e+01  22.5142 
OBS: 61727.2635 LSST-i DDF  1.44613e+02  4.6044e+00 4096  1.000 32.440  1.79 6.614e+01  22.1084 
OBS: 61727.2874 LSST-z DDF  1.32474e+02  6.8965e+00 4096  1.000 32.090  1.69 7.729e+01  22.1967 
OBS: 61728.1683 LSST-i DDF  1.58136e+02  1.0467e+00 4096  1.000 34.940  1.52 1.692e+02  22.0186 
OBS: 61728.2301 LSST-r DDF  1.49788e+02  9.1299e-01 4096  1.000 35.090  1.53 1.671e+02  22.0642 
OBS: 61728.2394 LSST-Y DDF  1.22317e+02  4.0105e+00 4096  1.000 33.410  1.36 1.891e+02  22.3493 
OBS: 61728.2496 LSST-z DDF  1.45635e+02  1.7503e+00 4096  1.000 34.800  1.60 2.492e+02  22.1066 
OBS: 61734.2746 LSST-r DDF  2.00163e+02  3.6197e+00 4096  1.000 31.720  1.61 2.562e+01  21.7518 
OBS: 61736.2132 LSST-i DDF  2.24963e+02  1.5653e+00 4096  1.000 34.910  2.45 1.574e+02  21.6443 
OBS: 61736.2228 LSST-r DDF  2.00635e+02  8.8766e-01 4096  1.000 34.990  1.96 1.091e+02  21.7323 
OBS: 61736.2378 LSST-z DDF  1.70218e+02  2.1950e+00 4096  1.000 34.780  2.11 2.344e+02  21.9219 
OBS: 61737.2913 LSST-r DDF  2.09360e+02  4.0596e+00 4096  1.000 31.690  1.79 2.596e+01  21.7359 
OBS: 61739.2431 LSST-r DDF  1.95371e+02  2.3767e+00 4096  1.000 32.490  1.52 3.526e+01  21.7645 
OBS: 61740.2464 LSST-r DDF  1.93790e+02  3.5068e+00 4096  1.000 31.730  1.60 2.508e+01  21.7889 
OBS: 61740.2705 LSST-i DDF  2.02652e+02  5.6922e+00 4096  1.000 31.630  1.76 3.798e+01  21.7133 
OBS: 61745.1993 LSST-z DDF  1.37453e+02  7.0863e+00 4096  1.000 32.090  1.98 6.781e+01  22.2811 
OBS: 61745.2200 LSST-Y DDF  7.02418e+01  2.0204e+01    0  1.000 30.250  1.61 4.426e+01  22.7834 
OBS: 61746.1846 LSST-Y DDF  1.16047e+02  2.4644e+01    0  1.000 30.270  2.01 4.402e+01  22.8243 
OBS: 61746.2104 LSST-z DDF  1.12006e+02  1.0220e+01 4096  1.000 31.340  1.96 4.974e+01  22.3324 
OBS: 61752.1975 LSST-i DDF  1.15995e+02  5.9655e+00 4096  1.000 32.470  1.54 1.045e+02  22.2781 
OBS: 61752.2111 LSST-z DDF  9.08794e+01  1.1762e+01 4096  1.000 31.350  1.63 6.991e+01  22.5735 
OBS: 61754.1208 LSST-i DDF  1.16027e+02  1.2514e+00 4096  1.000 34.980  1.37 2.432e+02  22.3548 
OBS: 61754.1430 LSST-r DDF  8.89216e+01  1.2682e+00 4096  1.000 35.130  1.50 2.622e+02  22.6155 
OBS: 61754.1600 LSST-Y DDF  7.03972e+01  3.9531e+00 4096  1.000 33.420  1.31 1.967e+02  22.9214 
OBS: 61754.1915 LSST-z DDF  9.01808e+01  1.7360e+00 4096  1.000 34.800  1.40 2.857e+02  22.5804 
OBS: 61755.1885 LSST-z DDF  1.09997e+02  7.3242e+00 4096  1.000 31.350  1.26 5.515e+01  22.5693 
OBS: 61755.2128 LSST-Y DDF  5.07896e+01  1.8435e+01    0  1.000 30.230  1.35 4.732e+01  22.9000 
OBS: 61756.1850 LSST-r DDF  7.69126e+01  3.2543e+00 4096  1.000 32.590  1.54 6.256e+01  22.7821 
OBS: 61756.2138 LSST-i DDF  1.11926e+02  5.6911e+00 4096  1.000 31.680  1.52 4.777e+01  22.4128 
OBS: 61758.1834 LSST-i DDF  1.03624e+02  1.1561e+00 4096  1.000 34.920  1.63 1.779e+02  22.4617 
OBS: 61758.1931 LSST-r DDF  6.65423e+01  8.3661e-01 4096  1.000 35.040  1.59 1.468e+02  22.9471 
OBS: 61758.2023 LSST-Y DDF  7.30792e+01  4.2389e+00 4096  1.000 33.380  1.38 1.931e+02  22.7981 
OBS: 61758.2125 LSST-z DDF  9.81040e+01  1.6366e+00 4096  1.000 34.780  1.44 2.559e+02  22.5339 
OBS: 61764.1631 LSST-r DDF  4.54082e+01  3.2447e+00 4096  1.000 31.730  1.75 2.458e+01  23.4538 
OBS: 61764.1871 LSST-i DDF  9.09028e+01  4.9080e+00 4096  1.000 31.650  1.64 3.696e+01  22.6540 
OBS: 61766.1120 LSST-i DDF  7.70103e+01  9.8390e-01 4096  1.000 34.920  1.58 1.560e+02  22.7603 
OBS: 61766.1217 LSST-r DDF  3.73131e+01  6.9020e-01 4096  1.000 35.000  1.74 1.074e+02  23.5840 
OBS: 61766.1366 LSST-z DDF  8.05626e+01  1.6082e+00 4096  1.000 34.790  1.59 2.307e+02  22.7135 
OBS: 61768.1859 LSST-r DDF  3.39419e+01  2.9888e+00 4096  1.000 31.720  1.56 2.530e+01  23.7084 
OBS: 61774.0855 LSST-i DDF  4.94652e+01  1.1357e+00 4096  1.000 34.930  1.73 1.700e+02  23.2460 
OBS: 61774.0952 LSST-r DDF  2.41685e+01  1.0042e+00 4096  1.000 35.040  2.17 1.339e+02  24.0040 
OBS: 61774.1045 LSST-Y DDF  5.86005e+01  4.1384e+00 4096  1.000 33.420  1.46 1.852e+02  23.1076 
OBS: 61774.1146 LSST-z DDF  5.25040e+01  1.4061e+00 4096  1.000 34.800  1.37 2.369e+02  23.1941 
OBS: 61775.1376 LSST-r DDF  1.96716e+01  2.2292e+00 4096  1.000 32.540  1.41 4.538e+01  24.0411 
OBS: 61775.1625 LSST-i DDF  5.12848e+01  3.3680e+00 4096  1.000 32.410  1.50 5.685e+01  23.2992 
OBS: 61776.1255 LSST-z DDF  3.06170e+01  8.0963e+00 4096  1.000 31.350  1.51 5.209e+01  23.3046 
OBS: 61777.1313 LSST-Y DDF  6.31473e+01  1.2931e+01 4096  1.000 31.000  1.39 6.542e+01  23.2592 
OBS: 61779.1206 LSST-i DDF  5.33301e+01  6.0243e+00 4096  1.000 31.700  1.46 5.485e+01  23.4466 
OBS: 61779.1445 LSST-z DDF  4.89674e+01  8.8680e+00    0  1.000 31.340  1.44 5.914e+01  23.4541 
OBS: 61781.1310 LSST-Y DDF  6.00787e+01  1.4615e+01    0  1.000 31.000  1.50 6.865e+01  23.4394 
OBS: 61782.1230 LSST-Y DDF  4.81564e+01  2.7656e+01    0  1.000 30.250  1.95 5.024e+01  23.4804 
OBS: 61782.1469 LSST-z DDF  7.60428e+01  1.5713e+01    0  1.000 31.340  2.20 6.891e+01  23.5668 
OBS: 61783.1067 LSST-z DDF  3.22593e+01  1.1595e+01    0  1.000 31.350  1.95 5.796e+01  23.5880 
OBS: 61783.1307 LSST-Y DDF  1.84566e+01  2.3613e+01    0  1.000 30.230  1.72 4.780e+01  23.5171 
END_PHOTOMETRY: 

