SURVEY:   LSST
SNID:             1657  # integer or string assigned by survey team (required)
ZP_FLUXCAL:  27.50  # mag = ZP_FLUXCAL - 2.5*log10(FLUXCAL) 
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       151.787109  # deg (avg among obs)
DEC:      2.836105  # deg (avg among obs)
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0247 +- 0.0000  # MW E(B-V) 
MWXT_MAG:  0.116 0.091 0.063 0.047 0.037 0.030  # MW mag-XT per band
PEAKMJD:  61545.965     # estimate for LC fit codes
MJD_TRIGGER:       61537.047  
MJD_DETECT_FIRST:  61537.016  
MJD_DETECT_LAST:   61562.004  

REDSHIFT_HELIO:   0.260984 +- 0.001000  # Helio 
REDSHIFT_FINAL:   0.262458 +- 0.001000  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      BAYESN.T21  
SIM_MODEL_INDEX:     13  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       BAYESN.T21 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           333187    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.26029 
SIM_REDSHIFT_CMB:    0.26176  
SIM_REDSHIFT_HOST:       0.26029    # z of true host
SIM_REDSHIFT_HOST_MATCH: 0.00000    # z of DDLR-matched host
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            40.6071   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_MUSHIFT:         0.0000   # user-defined shift 
SIM_RA:              151.787109     # deg  
SIM_DEC:             2.836105      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0247   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.691     # host extinction at 5510 A
SIM_RV:            2.610     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         61543.270    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        0.986    # BayeSN lumi-par
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  1.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -4.96  # days 
SIM_TRESTMAX:        14.87  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  -9.000 -9.000 22.210 21.967 22.199 22.494  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 46 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 61537.0163 LSST-i DDF  1.24097e+02  1.0256e+00 4096  1.000 35.670  1.77 2.932e+02  22.2574 
OBS: 61537.0165 LSST-Y DDF  1.02067e+02  3.4670e+00 4096  1.000 34.540  1.83 3.476e+02  22.5055 
OBS: 61537.0260 LSST-r DDF  1.05112e+02  7.7856e-01 4096  1.000 35.790  1.74 2.501e+02  22.4435 
OBS: 61537.0454 LSST-z DDF  1.19563e+02  1.7873e+00 6144  1.000 35.520  2.06 3.905e+02  22.3091 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=61537.0469
OBS: 61537.9865 LSST-i DDF  1.36517e+02  1.9320e+00 4096  1.000 34.940  2.10 2.408e+02  22.1819 
OBS: 61537.9962 LSST-r DDF  1.13965e+02  1.6042e+00 4096  1.000 35.070  2.10 2.250e+02  22.3701 
OBS: 61538.0055 LSST-Y DDF  1.02515e+02  5.6011e+00 4096  1.000 33.370  1.70 2.056e+02  22.4711 
OBS: 61538.0156 LSST-z DDF  1.23727e+02  2.2358e+00 4096  1.000 34.790  1.76 2.909e+02  22.2597 
OBS: 61542.9556 LSST-i DDF  1.42829e+02  1.5934e+01 4096  1.000 31.700  2.81 7.611e+01  21.9715 
OBS: 61542.9665 LSST-z DDF  1.52605e+02  1.6850e+01 4096  1.000 31.340  2.51 6.455e+01  22.1981 
OBS: 61545.9547 LSST-r DDF  1.24775e+02  1.3710e+01 4096  1.000 31.840  3.06 6.840e+01  22.2143 
OBS: 61545.9659 LSST-i DDF  1.59007e+02  1.4449e+01 4096  1.000 31.690  3.02 6.349e+01  21.9793 
OBS: 61547.9881 LSST-i DDF  1.54415e+02  1.8009e+00 4096  1.000 34.910  2.14 2.128e+02  22.0276 
OBS: 61547.9978 LSST-r DDF  1.26376e+02  1.5158e+00 4096  1.000 35.040  2.22 1.945e+02  22.2521 
OBS: 61548.0030 LSST-z DDF  1.24914e+02  2.2029e+00 4096  1.000 35.210  2.21 3.375e+02  22.2867 
OBS: 61548.0071 LSST-Y DDF  8.15478e+01  7.1736e+00 4096  1.000 33.330  2.14 2.024e+02  22.6752 
OBS: 61549.9555 LSST-i DDF  1.49696e+02  1.0175e+01 4096  1.000 31.680  2.52 5.269e+01  22.0969 
OBS: 61549.9663 LSST-z DDF  1.12427e+02  1.7933e+01    0  1.000 31.320  3.23 5.255e+01  22.3699 
OBS: 61550.9801 LSST-i DDF  1.39305e+02  2.2264e+00 4096  1.000 34.950  3.21 1.841e+02  22.1424 
OBS: 61550.9888 LSST-r DDF  1.15486e+02  1.2529e+00 4096  1.000 35.040  2.58 1.370e+02  22.3486 
OBS: 61550.9999 LSST-Y DDF  5.59992e+01  8.1957e+00 4096  1.000 33.330  2.51 1.974e+02  22.8684 
OBS: 61551.0100 LSST-z DDF  1.01623e+02  4.1825e+00 4096  1.000 34.760  3.63 2.596e+02  22.4274 
OBS: 61552.9812 LSST-i DDF  1.27009e+02  1.6337e+00 4096  1.000 34.900  2.26 1.811e+02  22.2440 
OBS: 61552.9909 LSST-r DDF  1.06703e+02  1.3049e+00 4096  1.000 34.980  2.66 1.314e+02  22.4414 
OBS: 61553.0002 LSST-Y DDF  7.54117e+01  8.7445e+00 4096  1.000 33.330  2.66 1.987e+02  22.9805 
OBS: 61553.0103 LSST-z DDF  9.32752e+01  2.9897e+00 4096  1.000 34.760  2.56 2.624e+02  22.5473 
OBS: 61554.9515 LSST-z DDF  9.80331e+01  1.5232e+01    0  1.000 32.110  2.47 1.211e+02  22.6481 
OBS: 61554.9628 LSST-Y DDF  8.43819e+01  2.7771e+01    0  1.000 30.970  2.78 6.870e+01  23.0626 
OBS: 61556.9805 LSST-i DDF  1.10000e+02  1.9975e+00 4096  1.000 34.890  2.74 1.830e+02  22.4547 
OBS: 61556.9942 LSST-r DDF  8.41003e+01  1.3820e+00 4096  1.000 35.070  2.91 1.399e+02  22.6821 
OBS: 61557.0051 LSST-z DDF  7.84930e+01  2.8292e+00 4096  1.000 34.760  2.40 2.650e+02  22.7658 
OBS: 61557.9806 LSST-i DDF  9.77298e+01  2.0802e+00 4096  1.000 34.890  2.85 1.837e+02  22.5011 
