SURVEY:   LSST
SNID:             1663  # integer or string assigned by survey team (required)
ZP_FLUXCAL:  27.50  # mag = ZP_FLUXCAL - 2.5*log10(FLUXCAL) 
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       151.083984  # deg (avg among obs)
DEC:      1.342993  # deg (avg among obs)
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0250 +- 0.0000  # MW E(B-V) 
MWXT_MAG:  0.117 0.092 0.064 0.047 0.037 0.031  # MW mag-XT per band
PEAKMJD:  61478.199     # estimate for LC fit codes
MJD_TRIGGER:       61471.160  
MJD_DETECT_FIRST:  61470.172  
MJD_DETECT_LAST:   61518.008  

REDSHIFT_HELIO:   0.008615 +- 0.001000  # Helio 
REDSHIFT_FINAL:   0.009794 +- 0.001000  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      BAYESN.T21  
SIM_MODEL_INDEX:     13  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       BAYESN.T21 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           334711    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.00882 
SIM_REDSHIFT_CMB:    0.01000  
SIM_REDSHIFT_HOST:       0.00882    # z of true host
SIM_REDSHIFT_HOST_MATCH: 0.00000    # z of DDLR-matched host
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            33.1725   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_MUSHIFT:         0.0000   # user-defined shift 
SIM_RA:              151.083984     # deg  
SIM_DEC:             1.342993      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0250   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.232     # host extinction at 5510 A
SIM_RV:            2.610     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         61479.781    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        1.193    # BayeSN lumi-par
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  1.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -9.52  # days 
SIM_TRESTMAX:        37.89  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  -9.000 14.462 14.478 14.993 -9.000 -9.000  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 72 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 61470.1737 LSST-i DDF  5.13893e+04  3.3774e+01 4096  1.000 31.660  1.74 3.866e+01  15.7194 
OBS: 61470.1977 LSST-r DDF  0.00000e+00  1.0000e+08 1024  1.000 31.750  1.53 2.772e+01  15.4692 
OBS: 61471.1594 LSST-g DDF  7.50675e+04  1.2861e+01 6144  1.000 34.150  2.55 5.483e+01  15.3114 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=61471.1602
OBS: 61471.1670 LSST-i DDF  6.22424e+04  8.3616e+00 4096  1.000 34.900  1.92 1.731e+02  15.5066 
OBS: 61471.1767 LSST-r DDF  7.77233e+04  8.9036e+00 4096  1.000 34.990  2.07 1.231e+02  15.2702 
OBS: 61475.2122 LSST-r DDF  0.00000e+00  1.0000e+08 1024  1.000 32.470  2.00 3.915e+01  14.7079 
OBS: 61476.1975 LSST-g DDF  0.00000e+00  1.0000e+08 1024  1.000 31.640  1.81 1.731e+01  14.5745 
OBS: 61477.1391 LSST-g DDF  1.54895e+05  1.8532e+01 4096  1.000 34.140  2.82 5.420e+01  14.5237 
OBS: 61477.1493 LSST-i DDF  1.04286e+05  1.0480e+01 4096  1.000 34.960  1.96 1.768e+02  14.9559 
OBS: 61477.1565 LSST-r DDF  0.00000e+00  1.0000e+08 1024  1.000 34.990  2.19 1.222e+02  14.5618 
OBS: 61478.1979 LSST-r DDF  1.56207e+05  5.7179e+01 4096  1.000 31.710  2.97 2.740e+01  14.5151 
OBS: 61478.2218 LSST-i DDF  1.04555e+05  4.9248e+01 4096  1.000 31.620  2.71 3.977e+01  14.9584 
OBS: 61480.1243 LSST-r DDF  0.00000e+00  1.0000e+08 1024  1.000 31.790  1.86 3.458e+01  14.4773 
OBS: 61488.0512 LSST-r DDF  0.00000e+00  1.0000e+08 1024  1.000 31.830  2.10 7.229e+01  14.8020 
OBS: 61488.0750 LSST-i DDF  6.51771e+04  3.8338e+01 4096  1.000 31.700  2.09 6.716e+01  15.4648 
OBS: 61489.0142 LSST-g DDF  1.05274e+05  1.4787e+01 4096  1.000 34.220  2.11 1.073e+02  14.9477 
OBS: 61489.0218 LSST-i DDF  6.21875e+04  8.4878e+00 4096  1.000 34.900  2.16 2.339e+02  15.5153 
OBS: 61489.0315 LSST-r DDF  1.12764e+05  1.0563e+01 4096  1.000 35.040  2.28 2.179e+02  14.8687 
OBS: 61490.0247 LSST-g DDF  9.65618e+04  1.4776e+01 4096  1.000 34.120  2.28 5.925e+01  15.0411 
OBS: 61490.0352 LSST-i DDF  5.82631e+04  8.0108e+00 4096  1.000 34.950  2.27 2.111e+02  15.5786 
OBS: 61490.0433 LSST-r DDF  1.06926e+05  1.0055e+01 4096  1.000 35.080  2.28 1.773e+02  14.9321 
OBS: 61491.0544 LSST-g DDF  8.75882e+04  1.3622e+01 4096  1.000 34.190  1.93 6.416e+01  15.1457 
OBS: 61491.0620 LSST-i DDF  5.52851e+04  7.8442e+00 4096  1.000 34.910  1.64 1.918e+02  15.6424 
OBS: 61491.0717 LSST-r DDF  0.00000e+00  1.0000e+08 1024  1.000 35.030  1.91 1.572e+02  14.9905 
OBS: 61492.0873 LSST-g DDF  7.99514e+04  1.3319e+01 4096  1.000 34.150  3.61 5.634e+01  15.2478 
OBS: 61492.0949 LSST-i DDF  5.40736e+04  7.8971e+00 4096  1.000 34.910  2.68 1.843e+02  15.6726 
OBS: 61492.1046 LSST-r DDF  9.58602e+04  9.7281e+00 4096  1.000 35.030  2.32 1.472e+02  15.0464 
OBS: 61493.0964 LSST-g DDF  7.29039e+04  1.2739e+01 4096  1.000 34.140  2.72 5.383e+01  15.3426 
OBS: 61493.1136 LSST-i DDF  5.34553e+04  7.4610e+00 4096  1.000 35.000  2.28 1.839e+02  15.6745 
