SURVEY:   LSST
SNID:             4385  # integer or string assigned by survey team (required)
ZP_FLUXCAL:  27.50  # mag = ZP_FLUXCAL - 2.5*log10(FLUXCAL) 
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       151.435547  # deg (avg among obs)
DEC:      1.492246  # deg (avg among obs)
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0276 +- 0.0000  # MW E(B-V) 
MWXT_MAG:  0.129 0.101 0.070 0.052 0.041 0.034  # MW mag-XT per band
PEAKMJD:  61126.223     # estimate for LC fit codes
MJD_TRIGGER:       61121.176  
MJD_DETECT_FIRST:  61121.152  
MJD_DETECT_LAST:   61166.105  

REDSHIFT_HELIO:   0.007911 +- 0.001000  # Helio 
REDSHIFT_FINAL:   0.009091 +- 0.001000  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      BAYESN.T21  
SIM_MODEL_INDEX:     13  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       BAYESN.T21 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           900338    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.00882 
SIM_REDSHIFT_CMB:    0.01000  
SIM_REDSHIFT_HOST:       0.00882    # z of true host
SIM_REDSHIFT_HOST_MATCH: 0.00000    # z of DDLR-matched host
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            33.1725   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_MUSHIFT:         0.0000   # user-defined shift 
SIM_RA:              151.435547     # deg  
SIM_DEC:             1.492246      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0276   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.369     # host extinction at 5510 A
SIM_RV:            2.610     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         61130.617    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        -2.015    # BayeSN lumi-par
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  1.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -9.38  # days 
SIM_TRESTMAX:        35.18  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  -9.000 14.140 14.155 14.846 -9.000 -9.000  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 70 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 61121.1526 LSST-i DDF  9.95132e+04  4.6927e+01 4096  1.000 31.650  1.68 3.839e+01  15.0020 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=61121.1758
OBS: 61121.1765 LSST-r DDF  1.30532e+05  5.1598e+01 6144  1.000 31.730  1.56 2.734e+01  14.7236 
OBS: 61122.1184 LSST-g DDF  1.64045e+05  1.8978e+01 4096  1.000 34.150  2.71 5.401e+01  14.4600 
OBS: 61122.1260 LSST-i DDF  1.11409e+05  1.1158e+01 4096  1.000 34.900  2.29 1.721e+02  14.8825 
OBS: 61122.1357 LSST-r DDF  1.46540e+05  1.2262e+01 4096  1.000 34.980  2.37 1.218e+02  14.5909 
OBS: 61124.1208 LSST-g DDF  1.95614e+05  2.0332e+01 4096  1.000 34.190  2.13 6.001e+01  14.2625 
OBS: 61124.1284 LSST-i DDF  1.26310e+05  1.1829e+01 4096  1.000 34.900  1.79 1.724e+02  14.7419 
OBS: 61124.1381 LSST-r DDF  1.74910e+05  1.3310e+01 4096  1.000 34.990  1.81 1.214e+02  14.3848 
OBS: 61126.2230 LSST-g DDF  2.20734e+05  2.4043e+01 4096  1.000 33.960  3.44 5.245e+01  14.1398 
OBS: 61126.2307 LSST-i DDF  1.29749e+05  1.2664e+01 4096  1.000 34.810  3.01 1.899e+02  14.7103 
OBS: 61126.2404 LSST-r DDF  1.98666e+05  1.5211e+01 4096  1.000 34.840  2.05 1.285e+02  14.2535 
OBS: 61133.1437 LSST-i DDF  1.10178e+05  3.4645e+01 4096  1.000 32.440  1.50 1.066e+02  14.8970 
OBS: 61134.0073 LSST-g DDF  2.14108e+05  2.0391e+01 4096  1.000 34.290  1.91 1.544e+02  14.1776 
OBS: 61134.0149 LSST-i DDF  1.07978e+05  1.0904e+01 4096  1.000 34.920  1.62 2.645e+02  14.9108 
OBS: 61134.0247 LSST-r DDF  2.14062e+05  1.4249e+01 4096  1.000 35.070  1.66 2.778e+02  14.1776 
OBS: 61135.0055 LSST-g DDF  2.09450e+05  2.0493e+01 4096  1.000 34.250  2.06 9.865e+01  14.1930 
OBS: 61135.0132 LSST-i DDF  1.05688e+05  1.0877e+01 4096  1.000 34.910  2.22 2.185e+02  14.9391 
OBS: 61135.0229 LSST-r DDF  2.09634e+05  1.4222e+01 4096  1.000 35.050  2.15 1.978e+02  14.1969 
OBS: 61136.0340 LSST-g DDF  2.06773e+05  2.0299e+01 4096  1.000 34.260  2.88 8.948e+01  14.2119 
OBS: 61136.0417 LSST-i DDF  1.02236e+05  1.0821e+01 4096  1.000 34.910  3.13 2.036e+02  14.9785 
OBS: 61136.0514 LSST-r DDF  2.03949e+05  1.4157e+01 4096  1.000 35.040  3.21 1.787e+02  14.2257 
OBS: 61137.0442 LSST-g DDF  2.01850e+05  2.1033e+01 4096  1.000 34.150  2.15 5.388e+01  14.2361 
OBS: 61137.0471 LSST-i DDF  9.74317e+04  9.9014e+00 4096  1.000 35.010  1.82 1.916e+02  15.0240 
OBS: 61137.0615 LSST-r DDF  1.97752e+05  1.3832e+01 4096  1.000 35.040  1.62 1.538e+02  14.2648 
OBS: 61138.0666 LSST-g DDF  1.94296e+05  2.0537e+01 4096  1.000 34.160  1.82 5.417e+01  14.2672 
OBS: 61138.0743 LSST-i DDF  9.34413e+04  1.0133e+01 4096  1.000 34.910  1.63 1.722e+02  15.0767 
OBS: 61138.0840 LSST-r DDF  1.88239e+05  1.3678e+01 4096  1.000 35.010  1.68 1.299e+02  14.3130 
OBS: 61139.0667 LSST-g DDF  1.89525e+05  2.0402e+01 4096  1.000 34.150  3.02 5.384e+01  14.3032 
OBS: 61139.0743 LSST-i DDF  8.93828e+04  1.0005e+01 4096  1.000 34.900  2.17 1.718e+02  15.1281 
