SURVEY:   LSST
SNID:             9548  # integer or string assigned by survey team (required)
ZP_FLUXCAL:  27.50  # mag = ZP_FLUXCAL - 2.5*log10(FLUXCAL) 
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       150.908203  # deg (avg among obs)
DEC:      3.732834  # deg (avg among obs)
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0174 +- 0.0000  # MW E(B-V) 
MWXT_MAG:  0.081 0.064 0.044 0.033 0.026 0.021  # MW mag-XT per band
PEAKMJD:  61529.020     # estimate for LC fit codes
MJD_TRIGGER:       61518.996  
MJD_DETECT_FIRST:  61517.992  
MJD_DETECT_LAST:   61561.992  

REDSHIFT_HELIO:   0.010446 +- 0.001000  # Helio 
REDSHIFT_FINAL:   0.011618 +- 0.001000  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      BAYESN.T21  
SIM_MODEL_INDEX:     13  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       BAYESN.T21 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           967321    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.00883 
SIM_REDSHIFT_CMB:    0.01000  
SIM_REDSHIFT_HOST:       0.00883    # z of true host
SIM_REDSHIFT_HOST_MATCH: 0.00000    # z of DDLR-matched host
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            33.1726   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_MUSHIFT:         0.0000   # user-defined shift 
SIM_RA:              150.908203     # deg  
SIM_DEC:             3.732834      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0174   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.775     # host extinction at 5510 A
SIM_RV:            2.610     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         61527.301    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        -0.000    # BayeSN lumi-par
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  1.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -9.23  # days 
SIM_TRESTMAX:        34.39  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  -9.000 14.930 14.742 15.214 -9.000 -9.000  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 60 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 61517.9905 LSST-g DDF  5.17344e+04  1.0053e+01 4096  1.000 34.310  2.33 1.181e+02  15.7198 
OBS: 61517.9982 LSST-i DDF  5.34189e+04  7.7686e+00 4096  1.000 34.930  2.14 2.270e+02  15.6752 
OBS: 61518.0079 LSST-r DDF  6.17091e+04  7.7665e+00 4096  1.000 35.070  2.14 2.207e+02  15.5265 
OBS: 61518.9949 LSST-g DDF  6.06575e+04  1.0950e+01 6144  1.000 34.270  2.06 7.242e+01  15.5312 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=61518.9961
OBS: 61518.9965 LSST-i DDF  6.29794e+04  8.3948e+00 4096  1.000 34.910  2.06 1.804e+02  15.5061 
OBS: 61519.0062 LSST-r DDF  7.24704e+04  8.4594e+00 4096  1.000 35.040  2.30 1.666e+02  15.3546 
OBS: 61522.0281 LSST-g DDF  8.98389e+04  8.1219e+00 4096  1.000 35.340  2.13 9.584e+01  15.1162 
OBS: 61522.0357 LSST-i DDF  8.32460e+04  5.5741e+00 4096  1.000 36.090  1.91 3.031e+02  15.2046 
OBS: 61522.0454 LSST-r DDF  1.02254e+05  5.8937e+00 4096  1.000 36.180  1.93 2.152e+02  14.9820 
OBS: 61523.0141 LSST-g DDF  9.69162e+04  1.4534e+01 4096  1.000 34.160  2.53 5.521e+01  15.0351 
OBS: 61523.0217 LSST-i DDF  8.57244e+04  9.8223e+00 4096  1.000 34.900  2.34 1.732e+02  15.1679 
OBS: 61523.0314 LSST-r DDF  1.09667e+05  1.0573e+01 4096  1.000 34.990  2.39 1.235e+02  14.9023 
OBS: 61525.0581 LSST-g DDF  1.04239e+05  4.8325e+01 4096  1.000 31.630  2.56 1.745e+01  14.9557 
OBS: 61525.0820 LSST-r DDF  1.21533e+05  5.0390e+01 4096  1.000 31.710  2.34 2.809e+01  14.7903 
OBS: 61526.0038 LSST-g DDF  1.05479e+05  1.5155e+01 4096  1.000 34.160  2.39 5.547e+01  14.9389 
OBS: 61526.0099 LSST-i DDF  8.54575e+04  9.5142e+00 4096  1.000 34.960  2.08 1.781e+02  15.1775 
OBS: 61526.0186 LSST-r DDF  1.24259e+05  1.0929e+01 4096  1.000 35.050  2.04 1.280e+02  14.7627 
OBS: 61527.0041 LSST-g DDF  1.06242e+05  1.5211e+01 4096  1.000 34.160  2.44 5.563e+01  14.9318 
OBS: 61527.0117 LSST-i DDF  8.27753e+04  9.6411e+00 4096  1.000 34.900  2.19 1.738e+02  15.2055 
OBS: 61527.0215 LSST-r DDF  1.26900e+05  1.1357e+01 4096  1.000 34.990  2.14 1.242e+02  14.7457 
OBS: 61529.0023 LSST-g DDF  1.04563e+05  1.0629e+01 4096  1.000 34.920  2.13 7.955e+01  14.9481 
OBS: 61529.0088 LSST-i DDF  7.78604e+04  6.4756e+00 4096  1.000 35.690  1.76 2.520e+02  15.2654 
OBS: 61529.0196 LSST-r DDF  1.26931e+05  8.0398e+00 4096  1.000 35.740  2.08 1.766e+02  14.7475 
OBS: 61529.9939 LSST-g DDF  1.02534e+05  1.4860e+01 4096  1.000 34.170  1.79 5.632e+01  14.9716 
OBS: 61530.0015 LSST-i DDF  7.63483e+04  9.2289e+00 4096  1.000 34.900  1.78 1.745e+02  15.2939 
OBS: 61530.0112 LSST-r DDF  1.24046e+05  1.1224e+01 4096  1.000 34.990  1.97 1.249e+02  14.7646 
OBS: 61537.0086 LSST-g DDF  7.33390e+04  8.4593e+00 4096  1.000 35.040  1.94 1.410e+02  15.3378 
OBS: 61537.0163 LSST-i DDF  5.25761e+04  5.4176e+00 4096  1.000 35.670  1.77 2.932e+02  15.6957 
OBS: 61537.0260 LSST-r DDF  8.99976e+04  6.6355e+00 4096  1.000 35.790  1.74 2.501e+02  15.1150 
