SURVEY:   LSST
SNID:             7653  # integer or string assigned by survey team (required)
ZP_FLUXCAL:  27.50  # mag = ZP_FLUXCAL - 2.5*log10(FLUXCAL) 
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       59.828377  # deg (avg among obs)
DEC:      -49.215374  # deg (avg among obs)
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0076 +- 0.0000  # MW E(B-V) 
MWXT_MAG:  0.036 0.028 0.020 0.014 0.011 0.009  # MW mag-XT per band
PEAKMJD:  61687.145     # estimate for LC fit codes
MJD_TRIGGER:       61675.297  
MJD_DETECT_FIRST:  61675.273  
MJD_DETECT_LAST:   61721.297  

REDSHIFT_HELIO:   0.009508 +- 0.001000  # Helio 
REDSHIFT_FINAL:   0.009371 +- 0.001000  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      BAYESN.T21  
SIM_MODEL_INDEX:     13  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       BAYESN.T21 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           570030    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.01014 
SIM_REDSHIFT_CMB:    0.01000  
SIM_REDSHIFT_HOST:       0.01014    # z of true host
SIM_REDSHIFT_HOST_MATCH: 0.00000    # z of DDLR-matched host
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            33.1754   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_MUSHIFT:         0.0000   # user-defined shift 
SIM_RA:              59.828377     # deg  
SIM_DEC:             -49.215374      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0076   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.030     # host extinction at 5510 A
SIM_RV:            2.610     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         61683.848    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        -0.834    # BayeSN lumi-par
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  1.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -8.49  # days 
SIM_TRESTMAX:        37.10  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  -9.000 13.823 13.985 14.689 -9.000 -9.000  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 43 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 61675.2744 LSST-g DDF  1.84289e+05  6.4716e+01 4096  1.000 31.610  1.93 1.445e+01  14.3362 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=61675.2969
OBS: 61675.2981 LSST-r DDF  1.50820e+05  5.5154e+01 6144  1.000 31.740  1.28 2.404e+01  14.5544 
OBS: 61676.3475 LSST-r DDF  1.71574e+05  5.9127e+01 4096  1.000 31.730  1.75 2.373e+01  14.4109 
OBS: 61676.3696 LSST-i DDF  1.22705e+05  5.1841e+01 4096  1.000 31.660  1.95 3.504e+01  14.7767 
OBS: 61678.3366 LSST-g DDF  2.59697e+05  3.3678e+01 4096  1.000 33.400  1.51 3.233e+01  13.9657 
OBS: 61678.3432 LSST-i DDF  1.38842e+05  1.7401e+01 4096  1.000 34.160  1.59 1.106e+02  14.6381 
OBS: 61678.3529 LSST-r DDF  2.07826e+05  2.0474e+01 4096  1.000 34.240  1.56 7.515e+01  14.2071 
OBS: 61679.2859 LSST-r DDF  2.21120e+05  6.7095e+01 4096  1.000 31.730  1.61 2.405e+01  14.1387 
OBS: 61682.2744 LSST-i DDF  1.39677e+05  5.5210e+01 4096  1.000 31.660  1.65 3.558e+01  14.6408 
OBS: 61687.1446 LSST-g DDF  2.81626e+05  3.4654e+01 4096  1.000 33.430  1.84 8.114e+01  13.8743 
OBS: 61687.1512 LSST-i DDF  1.23407e+05  1.6797e+01 4096  1.000 34.120  1.84 1.458e+02  14.7722 
OBS: 61687.1733 LSST-r DDF  2.46709e+05  2.1249e+01 4096  1.000 34.350  1.96 1.274e+02  14.0159 
OBS: 61689.2937 LSST-i DDF  1.12335e+05  4.9131e+01 4096  1.000 31.690  2.08 4.323e+01  14.8688 
OBS: 61691.3015 LSST-i DDF  1.01045e+05  4.6333e+01 4096  1.000 31.710  1.94 5.210e+01  14.9850 
OBS: 61693.2830 LSST-i DDF  9.12434e+04  4.3628e+01 4096  1.000 31.730  1.45 6.700e+01  15.0969 
OBS: 61695.3244 LSST-i DDF  7.92196e+04  4.1287e+01 4096  1.000 31.710  1.98 5.534e+01  15.2602 
OBS: 61696.1019 LSST-g DDF  1.78163e+05  2.8343e+01 4096  1.000 33.390  2.71 1.015e+02  14.3657 
OBS: 61696.1085 LSST-i DDF  7.53165e+04  1.3486e+01 4096  1.000 34.110  2.27 1.809e+02  15.3102 
OBS: 61696.1183 LSST-r DDF  1.60369e+05  1.8131e+01 4096  1.000 34.250  2.34 1.788e+02  14.4840 
OBS: 61698.3157 LSST-r DDF  1.41247e+05  5.1072e+01 4096  1.000 31.840  1.40 4.147e+01  14.6225 
OBS: 61698.3271 LSST-i DDF  7.06131e+04  3.8864e+01 4096  1.000 31.690  1.39 4.453e+01  15.3873 
OBS: 61700.2026 LSST-g DDF  1.32431e+05  2.4627e+01 4096  1.000 33.350  2.05 3.230e+01  14.6832 
OBS: 61700.2092 LSST-i DDF  6.72428e+04  1.2298e+01 4096  1.000 34.150  2.33 1.123e+02  15.4256 
OBS: 61700.2190 LSST-r DDF  1.32188e+05  1.6377e+01 4096  1.000 34.240  2.46 8.087e+01  14.6983 
OBS: 61703.2218 LSST-g DDF  1.05804e+05  4.8366e+01 4096  1.000 31.640  1.55 1.449e+01  14.9353 
OBS: 61705.2645 LSST-r DDF  1.24852e+05  5.0479e+01 4096  1.000 31.730  1.91 2.372e+01  14.7644 
OBS: 61705.3372 LSST-i DDF  7.59547e+04  4.1029e+01 4096  1.000 31.650  1.68 3.573e+01  15.3029 
OBS: 61707.2474 LSST-g DDF  7.51317e+04  1.8124e+01 4096  1.000 33.400  1.43 3.239e+01  15.3052 
OBS: 61707.2540 LSST-i DDF  8.03789e+04  1.3186e+01 4096  1.000 34.170  1.32 1.108e+02  15.2356 
OBS: 61707.2637 LSST-r DDF  1.23560e+05  1.5798e+01 4096  1.000 34.240  1.64 7.503e+01  14.7684 
