SURVEY:   LSST
SNID:             9181  # integer or string assigned by survey team (required)
ZP_FLUXCAL:  27.50  # mag = ZP_FLUXCAL - 2.5*log10(FLUXCAL) 
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       150.908203  # deg (avg among obs)
DEC:      3.583322  # deg (avg among obs)
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0171 +- 0.0000  # MW E(B-V) 
MWXT_MAG:  0.080 0.063 0.044 0.032 0.026 0.021  # MW mag-XT per band
PEAKMJD:  61477.141     # estimate for LC fit codes
MJD_TRIGGER:       61470.172  
MJD_DETECT_FIRST:  61468.180  
MJD_DETECT_LAST:   61514.977  

REDSHIFT_HELIO:   0.009399 +- 0.001000  # Helio 
REDSHIFT_FINAL:   0.010570 +- 0.001000  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      BAYESN.T21  
SIM_MODEL_INDEX:     13  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       BAYESN.T21 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           890937    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.00883 
SIM_REDSHIFT_CMB:    0.01000  
SIM_REDSHIFT_HOST:       0.00883    # z of true host
SIM_REDSHIFT_HOST_MATCH: 0.00000    # z of DDLR-matched host
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            33.1726   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_MUSHIFT:         0.0000   # user-defined shift 
SIM_RA:              150.908203     # deg  
SIM_DEC:             3.583322      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0171   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.117     # host extinction at 5510 A
SIM_RV:            2.610     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         61477.992    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        0.770    # BayeSN lumi-par
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  1.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -9.74  # days 
SIM_TRESTMAX:        37.70  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  -9.000 14.220 14.305 14.878 -9.000 -9.000  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 56 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 61468.1792 LSST-r DDF  7.59992e+04  3.9302e+01 4096  1.000 31.740  1.90 2.779e+01  15.2930 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=61470.1719
OBS: 61470.1728 LSST-i DDF  8.26773e+04  4.2815e+01 6144  1.000 31.650  1.64 3.879e+01  15.1991 
OBS: 61470.1968 LSST-r DDF  1.08330e+05  4.6808e+01 4096  1.000 31.740  1.56 2.772e+01  14.9145 
OBS: 61471.1594 LSST-g DDF  1.35583e+05  1.7257e+01 4096  1.000 34.150  2.55 5.483e+01  14.6813 
OBS: 61471.1670 LSST-i DDF  9.38879e+04  1.0228e+01 4096  1.000 34.900  1.92 1.731e+02  15.0654 
OBS: 61471.1767 LSST-r DDF  1.23763e+05  1.1213e+01 4096  1.000 34.990  2.07 1.231e+02  14.7688 
OBS: 61472.1206 LSST-i DDF  1.02954e+05  4.8316e+01 4096  1.000 31.640  2.57 3.889e+01  14.9659 
OBS: 61475.1501 LSST-g DDF  1.94299e+05  2.0638e+01 4096  1.000 34.150  2.19 5.461e+01  14.2797 
OBS: 61475.1578 LSST-i DDF  1.16189e+05  1.1370e+01 4096  1.000 34.900  2.04 1.726e+02  14.8345 
OBS: 61475.1696 LSST-r DDF  1.74012e+05  1.2984e+01 4096  1.000 35.040  2.17 1.257e+02  14.3922 
OBS: 61476.1975 LSST-g DDF  2.00911e+05  6.6649e+01 4096  1.000 31.640  1.81 1.731e+01  14.2442 
OBS: 61477.1391 LSST-g DDF  2.04487e+05  2.1282e+01 4096  1.000 34.140  2.82 5.420e+01  14.2261 
OBS: 61477.1493 LSST-i DDF  1.13712e+05  1.0988e+01 4096  1.000 34.950  1.96 1.769e+02  14.8560 
OBS: 61477.1565 LSST-r DDF  1.86206e+05  1.3742e+01 4096  1.000 34.990  2.19 1.222e+02  14.3182 
OBS: 61480.1234 LSST-r DDF  1.88701e+05  6.0692e+01 4096  1.000 31.780  1.89 3.524e+01  14.3172 
OBS: 61481.2232 LSST-g DDF  1.90285e+05  2.1284e+01 4096  1.000 34.060  1.91 5.379e+01  14.2922 
OBS: 61481.2308 LSST-i DDF  1.01614e+05  1.0890e+01 4096  1.000 34.850  1.86 1.831e+02  14.9897 
OBS: 61481.2405 LSST-r DDF  1.82007e+05  1.4097e+01 4096  1.000 34.910  2.05 1.264e+02  14.3464 
OBS: 61488.0683 LSST-r DDF  1.29201e+05  4.9745e+01 4096  1.000 31.830  1.86 7.311e+01  14.7297 
OBS: 61488.0922 LSST-i DDF  6.77379e+04  3.9073e+01 4096  1.000 31.690  1.97 6.734e+01  15.4292 
OBS: 61489.0142 LSST-g DDF  1.14626e+05  1.5422e+01 4096  1.000 34.220  2.11 1.073e+02  14.8414 
OBS: 61489.0218 LSST-i DDF  6.31892e+04  8.5523e+00 4096  1.000 34.900  2.16 2.339e+02  15.4967 
OBS: 61489.0315 LSST-r DDF  1.22449e+05  1.0996e+01 4096  1.000 35.040  2.28 2.179e+02  14.7864 
OBS: 61490.0681 LSST-r DDF  1.15092e+05  4.7218e+01 4096  1.000 31.800  2.02 4.429e+01  14.8457 
OBS: 61490.0920 LSST-i DDF  6.08673e+04  3.6733e+01 4096  1.000 31.680  1.92 5.072e+01  15.5436 
OBS: 61491.0986 LSST-r DDF  1.09290e+05  4.6345e+01 4096  1.000 31.790  2.53 3.938e+01  14.9037 
OBS: 61491.1226 LSST-i DDF  5.97757e+04  3.7255e+01 4096  1.000 31.660  2.65 4.714e+01  15.5581 
OBS: 61494.0959 LSST-g DDF  7.43644e+04  1.2789e+01 4096  1.000 34.150  2.24 5.396e+01  15.3183 
OBS: 61494.1035 LSST-i DDF  6.15196e+04  8.3190e+00 4096  1.000 34.900  1.98 1.720e+02  15.5405 
