SURVEY:   LSST
SNID:             6805  # integer or string assigned by survey team (required)
ZP_FLUXCAL:  27.50  # mag = ZP_FLUXCAL - 2.5*log10(FLUXCAL) 
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       148.974609  # deg (avg among obs)
DEC:      1.641510  # deg (avg among obs)
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0169 +- 0.0000  # MW E(B-V) 
MWXT_MAG:  0.079 0.062 0.043 0.032 0.025 0.021  # MW mag-XT per band
PEAKMJD:  61033.195     # estimate for LC fit codes
MJD_TRIGGER:       61024.254  
MJD_DETECT_FIRST:  61024.230  
MJD_DETECT_LAST:   61070.117  

REDSHIFT_HELIO:   0.008136 +- 0.001000  # Helio 
REDSHIFT_FINAL:   0.009300 +- 0.001000  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      BAYESN.T21  
SIM_MODEL_INDEX:     13  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       BAYESN.T21 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           394024    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.00884 
SIM_REDSHIFT_CMB:    0.01000  
SIM_REDSHIFT_HOST:       0.00884    # z of true host
SIM_REDSHIFT_HOST_MATCH: 0.00000    # z of DDLR-matched host
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            33.1726   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_MUSHIFT:         0.0000   # user-defined shift 
SIM_RA:              148.974609     # deg  
SIM_DEC:             1.641510      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0169   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.101     # host extinction at 5510 A
SIM_RV:            2.610     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         61034.164    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        0.414    # BayeSN lumi-par
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  1.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -9.84  # days 
SIM_TRESTMAX:        35.64  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  -9.000 14.144 14.242 14.842 -9.000 -9.000  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 70 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 61024.2324 LSST-g DDF  8.73798e+04  1.5844e+01 4096  1.000 33.860  2.17 5.248e+01  15.1468 
OBS: 61024.2401 LSST-i DDF  6.30360e+04  8.9050e+00 4096  1.000 34.790  1.99 1.959e+02  15.5069 
OBS: 61024.2529 LSST-r DDF  8.29971e+04  9.4719e+00 6144  1.000 34.930  2.16 1.337e+02  15.2046 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=61024.2539
OBS: 61025.2427 LSST-i DDF  7.58632e+04  9.7563e+00 4096  1.000 34.800  2.42 1.934e+02  15.2981 
OBS: 61025.2524 LSST-r DDF  9.93209e+04  1.0620e+01 4096  1.000 34.880  2.67 1.291e+02  15.0073 
OBS: 61025.2773 LSST-g DDF  1.07596e+05  1.1555e+01 4096  1.000 34.770  2.13 7.840e+01  14.9211 
OBS: 61027.2584 LSST-i DDF  9.98240e+04  7.6927e+00 4096  1.000 35.590  2.00 2.665e+02  15.0026 
OBS: 61027.2681 LSST-r DDF  1.33699e+05  8.4818e+00 4096  1.000 35.680  2.00 1.811e+02  14.6898 
OBS: 61027.2711 LSST-g DDF  1.47960e+05  1.8778e+01 4096  1.000 34.060  2.08 5.478e+01  14.5734 
OBS: 61029.2361 LSST-g DDF  1.87059e+05  2.2216e+01 4096  1.000 33.950  2.48 5.344e+01  14.3210 
OBS: 61029.2475 LSST-i DDF  1.15634e+05  1.1427e+01 4096  1.000 34.890  2.12 1.941e+02  14.8390 
OBS: 61029.2534 LSST-r DDF  1.63430e+05  1.3301e+01 4096  1.000 34.920  2.04 1.285e+02  14.4717 
OBS: 61030.2377 LSST-g DDF  2.01190e+05  2.2935e+01 4096  1.000 33.960  2.63 5.338e+01  14.2423 
OBS: 61030.2453 LSST-i DDF  1.20514e+05  1.2004e+01 4096  1.000 34.830  2.27 1.884e+02  14.8037 
OBS: 61030.2550 LSST-r DDF  1.75697e+05  1.3797e+01 4096  1.000 34.920  2.27 1.277e+02  14.3906 
OBS: 61031.2370 LSST-g DDF  2.09463e+05  2.3172e+01 4096  1.000 33.980  2.05 5.381e+01  14.1964 
OBS: 61031.2498 LSST-i DDF  1.20520e+05  1.1613e+01 4096  1.000 34.900  2.16 1.960e+02  14.7909 
