SURVEY:   LSST
SNID:             1796  # integer or string assigned by survey team (required)
ZP_FLUXCAL:  27.50  # mag = ZP_FLUXCAL - 2.5*log10(FLUXCAL) 
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       149.414062  # deg (avg among obs)
DEC:      0.671450  # deg (avg among obs)
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0292 +- 0.0000  # MW E(B-V) 
MWXT_MAG:  0.137 0.107 0.075 0.055 0.044 0.036  # MW mag-XT per band
PEAKMJD:  61070.117     # estimate for LC fit codes
MJD_TRIGGER:       61062.301  
MJD_DETECT_FIRST:  61062.277  
MJD_DETECT_LAST:   61108.188  

REDSHIFT_HELIO:   0.072602 +- 0.001000  # Helio 
REDSHIFT_FINAL:   0.073847 +- 0.001000  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      BAYESN.T21  
SIM_MODEL_INDEX:     13  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       BAYESN.T21 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           361112    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.07181 
SIM_REDSHIFT_CMB:    0.07305  
SIM_REDSHIFT_HOST:       0.07181    # z of true host
SIM_REDSHIFT_HOST_MATCH: 0.00000    # z of DDLR-matched host
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            37.5891   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_MUSHIFT:         0.0000   # user-defined shift 
SIM_RA:              149.414062     # deg  
SIM_DEC:             0.671450      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0292   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.105     # host extinction at 5510 A
SIM_RV:            2.610     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         61071.133    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        -0.534    # BayeSN lumi-par
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  1.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -8.26  # days 
SIM_TRESTMAX:        34.57  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  -9.000 -9.000 18.386 18.885 19.104 -9.000  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 44 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 61062.2776 LSST-r DDF  2.00284e+03  7.5902e+00 4096  1.000 31.740  2.14 2.721e+01  19.2512 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=61062.3008
OBS: 61062.3016 LSST-i DDF  1.64833e+03  8.0739e+00 6144  1.000 31.650  1.80 3.866e+01  19.4644 
OBS: 61065.2722 LSST-i DDF  2.36917e+03  1.9853e+00 4096  1.000 34.900  1.73 1.724e+02  19.0660 
OBS: 61065.2865 LSST-r DDF  3.04384e+03  1.8490e+00 4096  1.000 35.090  1.88 1.281e+02  18.7835 
OBS: 61065.3014 LSST-z DDF  2.00043e+03  2.5317e+00 4096  1.000 34.780  1.84 2.491e+02  19.2487 
OBS: 61066.1879 LSST-r DDF  3.37053e+03  9.8033e+00 4096  1.000 31.700  2.49 2.748e+01  18.6807 
OBS: 61068.1627 LSST-z DDF  2.31567e+03  1.9737e+01 4096  1.000 31.300  2.95 5.661e+01  19.0918 
OBS: 61070.1079 LSST-i DDF  2.79628e+03  4.2541e+00 4096  1.000 34.800  3.01 2.992e+02  18.8855 
OBS: 61070.1176 LSST-r DDF  4.37802e+03  3.5925e+00 4096  1.000 34.940  2.61 2.943e+02  18.4084 
OBS: 61070.1370 LSST-z DDF  2.30524e+03  3.7603e+00 4096  1.000 34.740  2.27 3.275e+02  19.0838 
OBS: 61079.1816 LSST-z DDF  1.51872e+03  1.1232e+01 4096  1.000 31.330  1.59 5.454e+01  19.5469 
OBS: 61080.1452 LSST-i DDF  1.94307e+03  2.3812e+00 4096  1.000 34.880  2.49 1.898e+02  19.2799 
OBS: 61080.1549 LSST-r DDF  3.26652e+03  2.1684e+00 4096  1.000 34.990  2.31 1.434e+02  18.7179 
OBS: 61080.1743 LSST-z DDF  1.42381e+03  2.6426e+00 4096  1.000 34.770  2.00 2.608e+02  19.6157 
OBS: 61081.1491 LSST-r DDF  3.07401e+03  8.8916e+00 4096  1.000 31.720  1.97 2.793e+01  18.7785 
OBS: 61083.1169 LSST-r DDF  2.80201e+03  8.3009e+00 4096  1.000 31.700  1.55 2.804e+01  18.8828 
OBS: 61086.1577 LSST-i DDF  1.39063e+03  1.3706e+00 4096  1.000 35.630  2.06 2.566e+02  19.6435 
OBS: 61086.1674 LSST-r DDF  2.45460e+03  1.2762e+00 4096  1.000 35.770  2.03 1.832e+02  19.0233 
OBS: 61086.1824 LSST-z DDF  1.08199e+03  1.7057e+00 4096  1.000 35.520  1.87 3.644e+02  19.9114 
OBS: 61087.1469 LSST-r DDF  2.36413e+03  8.8049e+00 4096  1.000 31.720  2.68 2.765e+01  19.0593 
OBS: 61088.2098 LSST-i DDF  1.37567e+03  1.8628e+00 4096  1.000 34.900  2.07 1.741e+02  19.6564 
OBS: 61088.2195 LSST-r DDF  2.31675e+03  1.7834e+00 4096  1.000 34.990  2.06 1.245e+02  19.0915 
OBS: 61088.2345 LSST-z DDF  1.05825e+03  2.3832e+00 4096  1.000 34.780  1.93 2.499e+02  19.9430 
OBS: 61090.2096 LSST-i DDF  1.38583e+03  1.7096e+00 4096  1.000 34.910  1.77 1.746e+02  19.6318 
OBS: 61090.2194 LSST-r DDF  2.18962e+03  1.6876e+00 4096  1.000 35.000  1.83 1.251e+02  19.1416 
OBS: 61090.2344 LSST-z DDF  1.06681e+03  2.0488e+00 4096  1.000 34.780  1.56 2.511e+02  19.9276 
OBS: 61094.1224 LSST-i DDF  1.50958e+03  1.7846e+00 4096  1.000 35.600  2.77 2.693e+02  19.5549 
OBS: 61094.1321 LSST-r DDF  1.99212e+03  1.4059e+00 4096  1.000 35.690  2.67 1.915e+02  19.2466 
OBS: 61094.1471 LSST-z DDF  1.13062e+03  2.0553e+00 4096  1.000 35.510  2.25 3.761e+02  19.8601 
