SURVEY:   LSST
SNID:             1241  # integer or string assigned by survey team (required)
ZP_FLUXCAL:  27.50  # mag = ZP_FLUXCAL - 2.5*log10(FLUXCAL) 
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       149.589844  # deg (avg among obs)
DEC:      2.612040  # deg (avg among obs)
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0164 +- 0.0000  # MW E(B-V) 
MWXT_MAG:  0.077 0.060 0.042 0.031 0.024 0.020  # MW mag-XT per band
PEAKMJD:  61454.355     # estimate for LC fit codes
MJD_TRIGGER:       61439.277  
MJD_DETECT_FIRST:  61439.250  
MJD_DETECT_LAST:   61508.176  

REDSHIFT_HELIO:   0.488425 +- 0.001000  # Helio 
REDSHIFT_FINAL:   0.490144 +- 0.001000  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      BAYESN.T21  
SIM_MODEL_INDEX:     13  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       BAYESN.T21 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           249361    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.48859 
SIM_REDSHIFT_CMB:    0.49031  
SIM_REDSHIFT_HOST:       0.48859    # z of true host
SIM_REDSHIFT_HOST_MATCH: 0.00000    # z of DDLR-matched host
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            42.1967   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_MUSHIFT:         0.0000   # user-defined shift 
SIM_RA:              149.589844     # deg  
SIM_DEC:             2.612040      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0164   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.143     # host extinction at 5510 A
SIM_RV:            2.610     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         61453.297    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        -0.271    # BayeSN lumi-par
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  1.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -9.43  # days 
SIM_TRESTMAX:        37.56  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  -9.000 -9.000 -9.000 22.808 22.715 22.877  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 126 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 61439.2512 LSST-i DDF  4.54814e+01  1.4920e+00 4096  1.000 34.900  2.20 1.725e+02  23.3889 
OBS: 61439.2759 LSST-z DDF  5.29986e+01  2.4559e+00 6144  1.000 34.770  2.24 2.489e+02  23.1904 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=61439.2773
OBS: 61440.2428 LSST-i DDF  4.90901e+01  1.5111e+00 4096  1.000 34.900  2.24 1.715e+02  23.2814 
OBS: 61440.2675 LSST-z DDF  5.42599e+01  2.6766e+00 4096  1.000 34.770  2.46 2.472e+02  23.1058 
OBS: 61441.2517 LSST-i DDF  5.01633e+01  1.0428e+00 4096  1.000 34.910  1.52 1.736e+02  23.1868 
OBS: 61441.2764 LSST-z DDF  6.07440e+01  1.8043e+00 4096  1.000 34.780  1.64 2.505e+02  23.0305 
OBS: 61442.2329 LSST-i DDF  5.60846e+01  1.0809e+00 4096  1.000 35.010  1.65 1.820e+02  23.1124 
OBS: 61442.2584 LSST-z DDF  6.63331e+01  1.7414e+00 4096  1.000 34.870  1.66 2.593e+02  22.9661 
OBS: 61443.2369 LSST-i DDF  6.05283e+01  1.2850e+00 4096  1.000 34.900  1.87 1.732e+02  23.0438 
OBS: 61443.2616 LSST-z DDF  7.32781e+01  2.0868e+00 4096  1.000 34.780  1.91 2.491e+02  22.9117 
OBS: 61444.2342 LSST-i DDF  6.49451e+01  1.1343e+00 4096  1.000 34.910  1.65 1.735e+02  22.9793 
OBS: 61444.2589 LSST-z DDF  7.22075e+01  1.6740e+00 4096  1.000 34.780  1.52 2.497e+02  22.8676 
OBS: 61445.2412 LSST-i DDF  6.76008e+01  1.4870e+00 4096  1.000 34.900  2.17 1.733e+02  22.9203 
OBS: 61445.2659 LSST-z DDF  7.60559e+01  1.6516e+00 4096  1.000 34.780  1.49 2.509e+02  22.8346 
OBS: 61446.2308 LSST-i DDF  7.22731e+01  1.4484e+00 4096  1.000 34.900  2.11 1.732e+02  22.8741 
OBS: 61446.2555 LSST-z DDF  7.51509e+01  1.9415e+00 4096  1.000 34.780  1.77 2.496e+02  22.8062 
OBS: 61447.2287 LSST-i DDF  7.46330e+01  1.4139e+00 4096  1.000 34.960  2.12 1.778e+02  22.8411 
OBS: 61447.2548 LSST-z DDF  7.37784e+01  2.4566e+00 4096  1.000 34.780  2.25 2.496e+02  22.7801 
OBS: 61449.1388 LSST-Y DDF  7.60995e+01  4.2422e+00 4096  1.000 34.440  1.96 3.632e+02  22.8471 
OBS: 61449.1521 LSST-i DDF  7.38823e+01  1.1642e+00 4096  1.000 35.600  2.09 2.688e+02  22.8183 
OBS: 61449.1812 LSST-z DDF  8.30517e+01  1.5280e+00 4096  1.000 35.510  1.82 3.746e+02  22.7422 
OBS: 61450.2104 LSST-i DDF  7.26778e+01  1.3873e+00 4096  1.000 35.000  2.09 1.837e+02  22.8108 
OBS: 61450.2370 LSST-Y DDF  6.50916e+01  5.9779e+00 4096  1.000 33.370  1.93 1.939e+02  22.8526 
OBS: 61450.2404 LSST-z DDF  7.89752e+01  2.8178e+00 4096  1.000 34.860  2.67 2.602e+02  22.7289 
OBS: 61451.2199 LSST-i DDF  7.43904e+01  1.5721e+00 4096  1.000 34.900  2.29 1.737e+02  22.8075 
OBS: 61451.2359 LSST-Y DDF  6.30446e+01  6.1006e+00 4096  1.000 33.420  2.01 1.991e+02  22.8626 
OBS: 61451.2471 LSST-z DDF  8.06760e+01  2.5303e+00 4096  1.000 34.820  2.35 2.554e+02  22.7218 
OBS: 61452.2290 LSST-i DDF  7.55644e+01  1.2550e+00 4096  1.000 34.900  1.80 1.746e+02  22.8064 
OBS: 61452.2480 LSST-Y DDF  7.68905e+01  6.3725e+00 4096  1.000 33.350  2.01 1.948e+02  22.8708 
