SURVEY:   LSST
SNID:             145  # integer or string assigned by survey team (required)
ZP_FLUXCAL:  27.50  # mag = ZP_FLUXCAL - 2.5*log10(FLUXCAL) 
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       59.966518  # deg (avg among obs)
DEC:      -48.141209  # deg (avg among obs)
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0061 +- 0.0000  # MW E(B-V) 
MWXT_MAG:  0.028 0.022 0.016 0.011 0.009 0.007  # MW mag-XT per band
PEAKMJD:  60997.273     # estimate for LC fit codes
MJD_TRIGGER:       60991.258  
MJD_DETECT_FIRST:  60991.230  
MJD_DETECT_LAST:   61044.141  

REDSHIFT_HELIO:   0.241830 +- 0.001000  # Helio 
REDSHIFT_FINAL:   0.241655 +- 0.001000  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      BAYESN.T21  
SIM_MODEL_INDEX:     13  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       BAYESN.T21 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           32167    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.24152 
SIM_REDSHIFT_CMB:    0.24134  
SIM_REDSHIFT_HOST:       0.24152    # z of true host
SIM_REDSHIFT_HOST_MATCH: 0.00000    # z of DDLR-matched host
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            40.4099   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_MUSHIFT:         0.0000   # user-defined shift 
SIM_RA:              59.966518     # deg  
SIM_DEC:             -48.141209      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0061   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.246     # host extinction at 5510 A
SIM_RV:            2.610     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60997.742    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        -1.482    # BayeSN lumi-par
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  1.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -5.25  # days 
SIM_TRESTMAX:        37.38  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  -9.000 -9.000 20.951 21.030 21.484 21.734  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 45 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 60991.2286 LSST-i DDF  3.47972e+02  1.8264e+00 4096  1.000 34.160  1.88 1.112e+02  21.1455 
OBS: 60991.2383 LSST-r DDF  3.52387e+02  1.4453e+00 4096  1.000 34.260  1.99 8.460e+01  21.1276 
OBS: 60991.2479 LSST-Y DDF  2.24195e+02  8.6833e+00 4096  1.000 32.650  2.11 1.316e+02  21.6415 
OBS: 60991.2574 LSST-z DDF  2.66503e+02  2.4309e+00 6144  1.000 34.040  1.59 1.681e+02  21.4287 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=60991.2578
OBS: 60992.1370 LSST-r DDF  3.76413e+02  4.1189e+00 4096  1.000 31.720  1.72 2.431e+01  21.0653 
OBS: 60993.1051 LSST-r DDF  3.81853e+02  5.7676e+00 4096  1.000 31.700  2.77 2.451e+01  21.0192 
OBS: 60996.0548 LSST-i DDF  3.96580e+02  7.6682e+00 4096  1.000 31.600  2.24 3.876e+01  21.0428 
OBS: 60997.2718 LSST-r DDF  4.28873e+02  4.7791e+00 4096  1.000 31.720  2.15 2.397e+01  20.9528 
OBS: 60999.2076 LSST-i DDF  3.90269e+02  1.4201e+00 4096  1.000 34.170  1.28 1.114e+02  21.0243 
OBS: 60999.2174 LSST-r DDF  4.13414e+02  1.1474e+00 4096  1.000 34.250  1.31 7.568e+01  20.9613 
OBS: 60999.2320 LSST-z DDF  2.57539e+02  2.0380e+00 4096  1.000 34.040  1.33 1.646e+02  21.4984 
OBS: 61006.2030 LSST-i DDF  3.62362e+02  1.6969e+00 4096  1.000 34.160  1.70 1.108e+02  21.0971 
OBS: 61006.2128 LSST-r DDF  3.47584e+02  1.3532e+00 4096  1.000 34.230  1.96 7.510e+01  21.1500 
OBS: 61006.2223 LSST-Y DDF  1.39181e+02  7.2859e+00 4096  1.000 32.650  1.78 1.311e+02  22.1966 
OBS: 61006.2319 LSST-z DDF  2.13592e+02  2.5501e+00 4096  1.000 34.040  1.73 1.648e+02  21.6702 
OBS: 61009.0626 LSST-r DDF  3.16459e+02  5.3610e+00 4096  1.000 31.810  1.71 4.169e+01  21.2590 
OBS: 61009.0968 LSST-i DDF  3.15565e+02  5.0647e+00 4096  1.000 32.430  1.99 6.274e+01  21.2267 
OBS: 61009.1309 LSST-z DDF  1.85104e+02  8.3919e+00 4096  1.000 31.350  1.54 5.124e+01  21.8455 
OBS: 61010.1977 LSST-Y DDF  8.21420e+01  1.2623e+01    0  1.000 31.760  1.98 9.050e+01  22.4444 
OBS: 61013.2115 LSST-Y DDF  9.24441e+01  1.3701e+01 4096  1.000 31.020  1.45 6.754e+01  22.6284 
OBS: 61015.1040 LSST-i DDF  2.14862e+02  1.8157e+00 4096  1.000 34.210  1.34 1.717e+02  21.6708 
OBS: 61015.1137 LSST-r DDF  2.47873e+02  1.7513e+00 4096  1.000 34.370  1.41 1.814e+02  21.5096 
OBS: 61015.1232 LSST-Y DDF  7.97640e+01  6.2759e+00 4096  1.000 32.660  1.47 1.383e+02  22.7015 
OBS: 61015.1328 LSST-z DDF  1.16851e+02  2.7394e+00 4096  1.000 34.060  1.64 1.945e+02  22.3499 
OBS: 61016.1982 LSST-r DDF  2.57534e+02  1.1837e+01 4096  1.000 31.850  3.55 5.082e+01  21.5499 
OBS: 61016.2223 LSST-i DDF  1.92755e+02  1.2174e+01 4096  1.000 31.690  3.19 5.035e+01  21.7555 
OBS: 61021.1447 LSST-i DDF  1.60356e+02  1.3411e+00 4096  1.000 34.170  1.43 1.108e+02  21.9893 
OBS: 61021.1544 LSST-r DDF  2.01786e+02  1.0905e+00 4096  1.000 34.240  1.65 7.511e+01  21.7455 
OBS: 61021.1639 LSST-Y DDF  7.74677e+01  5.7389e+00 4096  1.000 32.660  1.42 1.308e+02  22.7413 
