OBS: 61473.1670 LSST-r DDF  1.84965e+05  1.3772e+01 4096  1.000 34.980  2.53 1.226e+02  14.3247 
OBS: 61475.1501 LSST-g DDF  1.85346e+05  2.0158e+01 4096  1.000 34.150  2.19 5.461e+01  14.3243 
OBS: 61475.1578 LSST-i DDF  9.80812e+04  1.0460e+01 4096  1.000 34.900  2.04 1.726e+02  15.0236 
OBS: 61475.1675 LSST-r DDF  1.81091e+05  1.3616e+01 4096  1.000 34.980  2.18 1.225e+02  14.3580 
OBS: 61476.1908 LSST-g DDF  1.79707e+05  6.3052e+01 4096  1.000 31.640  2.06 1.715e+01  14.3620 
OBS: 61477.1391 LSST-g DDF  1.74859e+05  1.9686e+01 4096  1.000 34.140  2.82 5.420e+01  14.4017 
OBS: 61477.1467 LSST-i DDF  8.89758e+04  9.9642e+00 4096  1.000 34.900  1.96 1.724e+02  15.1299 
OBS: 61477.1565 LSST-r DDF  1.69251e+05  1.3105e+01 4096  1.000 34.990  2.19 1.222e+02  14.4228 
OBS: 61478.1975 LSST-r DDF  1.62888e+05  5.8382e+01 4096  1.000 31.710  3.01 2.732e+01  14.4717 
OBS: 61478.2213 LSST-i DDF  8.37444e+04  4.4492e+01 4096  1.000 31.610  2.76 3.994e+01  15.1977 
OBS: 61479.1393 LSST-g DDF  1.57075e+05  1.8677e+01 4096  1.000 34.140  3.34 5.398e+01  14.5083 
OBS: 61479.1469 LSST-i DDF  7.84763e+04  9.5475e+00 4096  1.000 34.890  3.08 1.718e+02  15.2585 
OBS: 61479.1566 LSST-r DDF  1.54072e+05  1.2586e+01 4096  1.000 34.980  2.75 1.218e+02  14.5240 
OBS: 61481.2232 LSST-g DDF  1.38152e+05  1.8141e+01 4096  1.000 34.060  1.91 5.379e+01  14.6470 
OBS: 61481.2308 LSST-i DDF  7.10350e+04  9.1367e+00 4096  1.000 34.850  1.86 1.831e+02  15.3731 
OBS: 61481.2405 LSST-r DDF  1.37683e+05  1.2271e+01 4096  1.000 34.910  2.05 1.264e+02  14.6526 
OBS: 61489.0142 LSST-g DDF  6.87668e+04  1.1990e+01 4096  1.000 34.220  2.11 1.073e+02  15.4032 
OBS: 61489.0218 LSST-i DDF  5.89398e+04  8.2754e+00 4096  1.000 34.900  2.16 2.339e+02  15.5723 
OBS: 61489.0315 LSST-r DDF  9.56609e+04  9.7511e+00 4096  1.000 35.040  2.28 2.179e+02  15.0609 
OBS: 61490.0247 LSST-g DDF  6.25425e+04  1.1909e+01 4096  1.000 34.120  2.28 5.925e+01  15.5103 
OBS: 61490.0324 LSST-i DDF  6.06425e+04  8.3541e+00 4096  1.000 34.900  2.28 2.049e+02  15.5471 
OBS: 61490.0444 LSST-r DDF  9.23648e+04  9.3592e+00 4096  1.000 35.080  2.28 1.782e+02  15.0840 
